VariableName,huodongID,dayIdx,item,rmbShow,rmbCost,buyMax,vipLeast,discount 
Defaults,0,0,{},100,90,10000,2,0
ID,活动版本ID,开放序号,道具id,原价,现价,服务器数量,vip限制;0无限制,折扣
1,19001,,{100=3},300,60,3000,0,
2,19001,,{520=10},1000,300,1500,3,
3,19001,1,{gold=1},600,120,2500,0,
4,19001,1,{gold=1},2000,400,1000,3,
5,19001,2,{gold=300000},750,150,1500,0,
6,19001,2,{gold=1},3000,600,600,4,
7,19001,3,{500=4},1000,200,1500,0,
8,19001,3,{gold=1},3000,600,500,5,
9,19001,4,{talent_point=4},1000,200,1200,0,
10,19001,4,{talent_point=16},4000,800,300,6,
11,19001,5,{520=5},1000,200,1000,0,
12,19001,5,{501=8},5000,1000,200,7,
13,19001,6,{611=100},1000,200,800,0,
14,19001,6,{gold=1},5000,1000,100,8,
