VariableName,huodongID,_beizhu,name_cn,name,name_en,name_vn,name_th,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,group,costMap,unlock
Defaults,0,"""""","""""","""""","""""","""""","""""",10,1,{},-1,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,"""""",100,<cn;in;ph;en;vn;th;kr;ma>,0,{},
ID,活动版本ID,备注,名字,名字,名字,名字,名字,次数限制,等级限制,道具id,recharge表id,钻石售卖价格,礼包排序字段,刷新方式（是否每日刷新）,礼包状态：0永久限购、1每周限购，2每月限购,礼包的icon,促销标签,原价,语言区域,group,costMap,unlock
1,23001,,开服礼包1,Server Open Pack 1,Server Open Pack 1,Server Mở Gói 1,Server Open Pack 1,2,,{12=10;stamina=100;gold=50000;rmb=60},,0,,TRUE,,,,,,,,
2,23001,,每日礼包A,Daily Gift Pack A,Daily Gift Pack A,Gói quà hàng ngày A,Daily Gift Pack A,1,,{451=100;452=30},,100,,TRUE,,,,,,,,
3,23001,,开服礼包2,Server Open Pack 2,Server Open Pack 2,Server Mở Gói 2,Server Open Pack 2,5,,{520=10;4000=100},,200,,,1,,,,,,,
4,23001,,每日礼包B,Daily Gift Pack B,Daily Gift Pack B,Gói hàng ngày B,Daily Gift Pack B,1,,{941=1;503=20},,300,,TRUE,,,,,,,,
5,23001,,开服礼包3,Server Open Pack 3,Server Open Pack 3,Server Mở Gói 3,Server Open Pack 3,1,,{2103=50;gold=200000},105,,,,2,,,,,,,
6,23001,,每日礼包C,Daily Gift Pack C,Daily Gift Pack C,Gói quà hàng ngày C,Daily Gift Pack C,2,,{502=50;13=20;gold=150000},106,,,TRUE,,,,,,,,
7,23001,,每日礼包D,Daily Gift Pack D,Daily Gift Pack D,Gói hàng ngày D,Daily Gift Pack D,2,,{16=5;rmb=5000;gold=300000},107,,,TRUE,,,,,,,,
8,23001,,开服礼包4,Server Open Pack 4,Server Open Pack 4,Server Mở Gói 4,Server Open Pack 4,5,,{14=3;15=200},108,,,,,,,,,,,
101,23101,,成长礼包,Growth Gift Pack,Growth Gift Pack,Gói quà tăng trưởng,Growth Gift Pack,1,,{12=10;stamina=100;gold=50000;rmb=60},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,,
102,23101,,饰品礼包,Jewelry Gift Pack,Jewelry Gift Pack,Gói quà trang sức,Jewelry Gift Pack,1,,{930=10;13=10;501=3;100=5},106,,,,,activity/direct_gift/icon_cjbx7.png,,,,,,
103,23101,,成长值礼包,Growth Value Pack,Growth Value Pack,Gói giá trị tăng trưởng,Growth Value Pack,1,,{13=10;19=10;gold=100000;rmb=300},106,,,,,activity/direct_gift/icon_cjbx5.png,,,,,,
104,23101,,抽卡礼包,Card Draw Pack,Card Draw Pack,gói rút thẻ,Card Draw Pack,1,,{13=20;519=10;gold=100000},108,,,,,activity/direct_gift/icon_zjbx6.png,,,,,,
105,23101,,豪华抽卡礼包,Premium Card Draw Pack,Premium Card Draw Pack,Gói rút thẻ cao cấp,Premium Card Draw Pack,1,,{13=30;519=20;gold=200000},111,,,,,activity/direct_gift/icon_gjbx8.png,,,,,,
111,23102,,成长礼包,Growth Gift Pack,Growth Gift Pack,Gói quà tăng trưởng,Growth Gift Pack,1,,{12=10;stamina=100;gold=50000;rmb=60},102,,,,,activity/direct_gift/icon_cjbx4.png,,,,,,
112,23102,,培养礼包,Training Gift Pack,Training Gift Pack,Gói quà đào tạo,Training Gift Pack,1,,{451=100;452=30},106,,,,,activity/direct_gift/icon_cjbx8.png,,,,,,
