VariableName,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,{},<>,0,1,0,{},0,<>,0,<>,0,<>,0,<>,{},0,{}
ID,版本ID,序号（界面显示用）,名字,名字,名字,名字,名字,描述,描述,描述,描述,描述,任务点样式,特殊委托标识,弹框样式,任务类型(1-主干;2-分支;3宝箱),可完成次数,位置,前置路点,前置派遣id,时长(分钟),冷却时间,消耗(行动点),基础要求1(1-委托精灵x个;2-x元素y个;3-指定markID卡牌领队;4-性别为x精灵y个;5-身高x及以上的精灵y个;6-身高x及以下的精灵y个;7-体重x及以上的精灵y个;8-体重x及以下的精灵y个;9-好感度x及以上的精灵y个;10-稀有度x以上的精灵y个;11-元素满足多个),基础参数1(target;count),基础要求2,基础参数2,基础要求3,基础参数3,特殊要求,特殊参数,额外奖励类型,额外缩短时间,委托奖励
1,101056,1,New Adventure,,New Adventure,Cuộc phiêu lưu mới,,Ash and the Hero discovered a new area with diverse and breathtaking scenery. They decided to start exploring the surroundings.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=515;y=1137},<<515;1137>>,,10,,{8118=2},1,<4>,,,,,,,,,{gold=40000;rmb=20;500=1}
2,101056,2,Sweep Clean,,Sweep Clean,Quét sạch,,"Ahead stands a house. Upon entering, they found it dusty and cluttered. With the Hero’s help, it could be cleaned up quickly.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1146;y=1141},<<515;1137>;<662;1077>;<946;1104>;<1062;1087>;<1146;1141>>,1,10,,{8118=2},11,<3>,,,,,4,<2;2>,{rmb=50},,{15=10;gold=40000;rmb=20}
3,101056,3,Power for Love,,Power for Love,Tạo ra sức mạnh cho tình yêu,,"The research lab here has circuit damage, causing the machines to malfunction. Ash needs to send a trusted partner to assist.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1109;y=796},<<1146;1141>;<1109;796>>,2,20,,{8118=2},2,<5;1>,9,<10;2>,10,<3;1>,,,,,{gold=40000;930=50;rmb=20}
4,101056,4,Mysterious Fragrance,,Mysterious Fragrance,Hương thơm bí ẩn,,"As the team prepares to move on, a refreshing fruity aroma drifts in with the wind. Tempted, they decide to investigate.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1142;y=503},<<1109;796>;<771;613>;<1142;503>>,3,30,,{8118=4},2,<1;1>,10,<2;2>,,,,,,,{452=50;rmb=50;gold=100000}
5,101056,5,Keep Moving Forward I,,Keep Moving Forward I,Tiếp tục chuyển tiếp Ⅰ,,Ash and the Hero are traveling on the road. The Hero form several squads under Ash’s command to ensure exploration safety.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1257;y=383},<<1142;503>;<1257;383>>,4,30,,{8118=4},2,<6;1>,9,<20;1>,,,,,,,{gold=100000;rmb=50;16=10}
6,101056,6,Keep Advancing II,,Keep Advancing II,Tiếp tục tiến về phía trước Ⅱ,,Ash and the Hero are traveling on the road. The Hero form several squads under Ash’s command to ensure exploration safety.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1506;y=463},<<1257;383>;<1506;463>>,5,60,,{8118=4},2,<2;1>,2,<16;1>,10,<3;1>,,,,,{502=10;gold=100000;rmb=50}
7,101056,7,Picnic Time,,Picnic Time,đi chơi picnic,,"This small grove isn’t large, but the wild fruits on the trees look luscious. Ash and the Hero plan to take a short rest here.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=1924;y=541},<<1506;463>;<1924;541>>,6,30,,{8118=4},3,<333>,1,<4>,10,<3;2>,9,<65;1>,{502=2},,{15=10;gold=100000;rmb=50}
8,101056,8,Forgotten Relic?,,Forgotten Relic?,Di vật bị lãng quên?,,A pile of intricately carved stone pillars blocks the way. Ash decides to carefully move them—this could be some ancient relic!,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=2322;y=527},<<1924;541>;<2322;527>>,7,60,,{8118=6},2,<13;1>,10,<3;1>,9,<30;1>,,,,,{gold=200000;5000=50;rmb=100}
9,101056,9,Keep Advancing III,,Keep Advancing III,Tiếp tục về phía trước iii,,Ash and the Hero are traveling on the road. The Hero form several squads under Ash’s command to ensure exploration safety.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=2798;y=800},<<2322;527>;<2620;729>;<2798;800>>,8,30,,{8118=4},1,<4>,2,<2;1>,,,,,,,{902=10;gold=100000;rmb=50}
10,101056,10,Crossing the River I,,Crossing the River I,Băng qua sôngⅠ,,Ash’s team reaches a riverbank and sees a frail wooden bridge that can't be crossed. Ash plans for the Hero to wade through.,,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,,,{x=2416;y=1202},<<2798;800>;<2416;1202>>,9,60,,{8118=10},3,<712>,10,<3;1>,9,<65;1>,11,<4;2>,{501=1},,{902=10;gold=400000;rmb=200}
11,101056,11,Crossing the River II,,Crossing the River II,Băng qua sông Ⅱ,,"After crossing a river, they encounter another, even wider one. Ash and the Hero must wade through again.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,,,{x=3004;y=1232},<<2416;1202>;<2640;1198>;<2818;1122>;<3004;1232>>,10,30,,{8118=4},1,<3>,11,<3>,,,,,,,{gold=100000;967=1;rmb=50}
12,101056,12,Fly,,Fly,Bay,,"Finally leaving the river behind, Ash's team arrives at the foot of towering green mountains. Ash plans to “fly” to the top.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,,,{x=3648;y=1204},<<3004;1232>;<3372;1114>;<3648;1204>>,11,60,,{8118=6},10,<3;1>,11,<10;2>,,,,,,,{15=10;gold=200000;rmb=100}
13,101056,13,Campfire,,Campfire,Lửa trại,,"It’s quite cold in these mountains, shaded by trees year-round. Ash plans to build a fire and needs help from the Hero.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=4130;y=1130},<<3648;1204>;<3928;1260>;<4130;1130>>,12,60,,{8118=15},9,<60;1>,2,<2;2>,,,,,,,{rmb=300;gold=300000;850=100}
14,101056,14,Adventure Preparation,,Adventure Preparation,Chuẩn bị phiêu lưu,,"Crossing the forested mountains, they reach a vast desert. The climate suddenly turns hot—preparations are needed to enter.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,,,{x=3584;y=832},<<4130;1130>;<3780;982>;<3584;832>>,13,60,,{8118=10},3,<2242>,4,<2;2>,11,<3>,11,<4;2>,{rmb=50},,{2103=10;gold=400000;rmb=200}
15,101056,15,Clear the Trap,,Clear the Trap,Làm sạch bẫy,,"Ash’s team needs to pass through waist-high grass, but traps set by hunters seem to be hidden inside. They must be cleared.",,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,,,{x=3402;y=511},<<3584;832>;<3395;922>;<3202;766>;<3402;511>>,14,60,,{8118=6},1,<4>,4,<1;2>,11,<3>,,,,,{gold=200000;'talent_point'=5;rmb=100}
