VariableName,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
Defaults,,,,,1,{x=0;y=0},"""""","""""",,,1,{x=0;y=0},"""""",""""""
ID,活动ID,Remark,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源,卡牌ID,立绘,立绘缩放,立绘偏移位子,卡牌名字美术字资源,定位美术字资源
1,,,3001,config/big_hero/normal/img_3001.png,1.6,,common/txt/txt_xianrenmingren.png,common/txt/txt_dw_xianrenmingren.png,3011,config/big_hero/normal/img_3011.png,1.6,,common/txt/txt_bofengshuimen.png,common/txt/txt_dw_bofengshuimen.png
2,,,3021,config/big_hero/normal/img_3021.png,1.6,,common/txt/txt_shenweikakaxi.png,common/txt/txt_dw_shenweikakaxi.png,3031,config/big_hero/normal/img_3031.png,1.6,,common/txt/txt_jingmenkai.png,common/txt/txt_dw_jingmenkai.png
3,,,3051,config/big_hero/normal/img_3051.png,1.6,,common/txt/txt_xianrenzilaiye.png,common/txt/txt_dw_xianrenzilaiye.png,,,,,,
4,,,3061,config/big_hero/normal/img_3061.png,1.6,,common/txt/txt_yuanfeirizhan.png,common/txt/txt_dw_yuanfeirizhan.png,3071,config/big_hero/normal/img_3071.png,1.6,,common/txt/txt_qianshoufeijian.png,common/txt/txt_dw_qianshoufeijian.png
5,,,3061,config/big_hero/normal/img_3061.png,1.6,,common/txt/txt_yuanfeirizhan.png,common/txt/txt_dw_yuanfeirizhan.png,,,,,,
6,,,3041,config/big_hero/normal/img_3041.png,1.6,,common/txt/txt_baihaogangshou.png,common/txt/txt_dw_xianrenmingren.png,3051,config/big_hero/normal/img_3051.png,1.6,,common/txt/txt_xianrenzilaiye.png,common/txt/txt_dw_xianrenzilaiye.png
7,,,3121,config/big_hero/normal/img_3041.png,1,,common/txt/txt_zuozhuxuzuo2.png,common/txt/txt_dw_tiandaopeien.png,3061,config/big_hero/normal/img_3051.png,1,,common/txt/txt_yuanfeirizhan.png,common/txt/txt_dw_yuanfeirizhan.png
8,,,3151,config/big_hero/normal/img_3041.png,1,,common/txt/txt_nagato_ss.png,common/txt/txt_dw_tiandaopeien.png,3141,config/big_hero/normal/img_3051.png,1,,common/txt/txt_Pain_ss.png,common/txt/txt_dw_yuanfeirizhan.png
9,,,3121,config/big_hero/normal/img_3041.png,1,,common/txt/txt_zuozhuxuzuo2.png,common/txt/txt_dw_tiandaopeien.png,3021,config/big_hero/normal/img_3051.png,1,,common/txt/txt_shenweikakaxi.png,common/txt/txt_dw_yuanfeirizhan.png
10,,,3131,config/big_hero/normal/img_3041.png,1,,common/txt/txt_youxuzuo.png,common/txt/txt_dw_tiandaopeien.png,3061,config/big_hero/normal/img_3051.png,1,,common/txt/txt_yuanfeirizhan.png,common/txt/txt_dw_yuanfeirizhan.png
11,,,3031,config/big_hero/normal/img_3041.png,1,,common/txt/txt_jingmenkai.png,common/txt/txt_dw_tiandaopeien.png,3041,config/big_hero/normal/img_3051.png,1,,common/txt/txt_baihaogangshou.png,common/txt/txt_dw_yuanfeirizhan.png
12,,,3061,config/big_hero/normal/img_3061.png,1.6,,common/txt/txt_yuanfeirizhan.png,common/txt/txt_dw_yuanfeirizhan.png,3131,config/big_hero/normal/img_3131.png,1.6,,common/txt/txt_youxuzuo.png,common/txt/txt_dw_jingmenkai.png
13,,,3041,config/big_hero/normal/img_3041.png,1.6,,common/txt/txt_baihaogangshou.png,common/txt/txt_dw_xianrenmingren.png,3051,config/big_hero/normal/img_3051.png,1.6,,common/txt/txt_xianrenzilaiye.png,common/txt/txt_dw_xianrenzilaiye.png
14,,,3141,config/big_hero/normal/img_3141.png,1.6,,common/txt/txt_Pain_ss.png,common/txt/txt_dw_yuanfeirizhan.png,3151,config/big_hero/normal/img_3151.png,1.6,,common/txt/txt_nagato_ss.png,common/txt/txt_dw_tiandaopeien.png
15,,,3211,lihui/lihui_zilaiye.json,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,3353,lihui/lihui_gangshou.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
16,,,2233,lihui/lihui_beijita.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,2233,config/big_hero/skill/img_2233.png,1.6,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
17,,,1503,lihui/lihui_meipulu.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,1503,config/big_hero/skill/img_1503.png,1.6,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
18,,,1173,lihui/lihui_feiying.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,3673,lihui/lihui_bilusi.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
19,,,701,lihui/lihui_bingzhang.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,3021,lihui/lihui_wuyaowang.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
20,,,7001,lihui/lihui_dijia.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,1941,lihui/lihui_tiannvshou.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
21,,,1961,lihui/lihui_akeya.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,1951,lihui/lihui_tianshishou.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
22,,,8004,Tsuyuri_Kanao/Tsuyuri_Kanao_ui.skel,,{x=-50;y=-40},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png,8008,lihui/lihui_tamayo.skel,,{x=100;y=-50},common/txt/txt_ss.png,common/txt/txt_ninja_desc.png
