VariableName,huodongID,rank,award,fightPointLeast
Defaults,0,0,{},1000
ID,活动版本,排名,排行奖励,战力限制
1,1001,1,{23221=240;card={id=3221};2070=1;501=30;30419=1},80000
2,1001,2,{23221=160;card={id=3221};501=20;30419=1;2070=1},80000
3,1001,3,{31301=1;23221=80;501=15;card={id=3221};2070=1},80000
4,1001,4,{6214=3;502=50;501=10;15=30;31301=1},80000
5,1001,5,{6214=2;502=40;501=8;15=25},80000
6,1001,6,{6214=1;502=30;501=6;15=20},80000
7,1001,7,{925=1;502=20;501=5;15=15},80000
8,1001,8,{925=1;502=15;501=4;15=15},80000
9,1001,9,{925=1;502=10;501=2;15=10},80000
10,1001,10,{925=1;502=5;501=1;15=10},80000
