VariableName,vip,taskParam,huodongID,award,taskType,taskSpecialParam,desc,desc_vn
Defaults,0,9999,0,{},0,{},,
VariableName,vip,taskParam,huodongID,award,taskType,taskSpecialParam,desc,desc
101,,5,8827,{5000=10;11=30;gold=100000;rmb=100},1,,Reach Lv.5,Reach Lv.5
102,,10,8827,{gold=150000;11=30;19=5;rmb=200},1,,Reach Lv.10,Reach Lv.10
103,,15,8827,{gold=200000;11=30;rmb=300;100=5},1,,Reach Lv.15,Reach Lv.15
104,,20,8827,{800=5;gold=250000;12=20;rmb=300},1,,Reach Lv.20,Reach Lv.20
105,,25,8827,{801=5;gold=300000;12=20;rmb=400},1,,Reach Lv.25,Reach Lv.25
106,,30,8827,{451=5;12=20;gold=350000;rmb=400},1,,Reach Lv.30,Reach Lv.30
107,,35,8827,{13=15;gold=400000;rmb=500;452=6},1,,Reach Lv.35,Reach Lv.35
108,,40,8827,{13=15;800=10;gold=450000;rmb=500},1,,Reach Lv.40,Reach Lv.40
109,,45,8827,{13=15;801=10;gold=500000;rmb=600},1,,Reach Lv.45,Reach Lv.45
201,,10,8828,{rmb=100;gold=20000},29,,Fight 10 times normal level,Fight 10 times normal level
202,,15,8828,{rmb=200;gold=20000},29,,Fight 20 times normal level,Fight 20 times normal level
203,,30,8828,{rmb=300;gold=20000},29,,Fight 30 times normal level,Fight 30 times normal level
204,,40,8828,{rmb=400;gold=20000},29,,Fight 40 times normal level,Fight 40 times normal level
205,,50,8828,{13=14;gold=20000},29,,Fight 50 times normal level,Fight 50 times normal level
206,,60,8828,{gold=20000;12=15},29,,Fight 60 times normal level,Fight 60 times normal level
207,,70,8828,{11=16;gold=20000},29,,Fight 70 times normal level,Fight 70 times normal level
301,,1,8829,{rmb=10;gold=20000},26,,Buy stamina 1 time,Buy stamina 1 time
302,,2,8829,{rmb=11;gold=20000},26,,Buy stamina 2 times,Buy stamina 2 times
303,,3,8829,{31301=1;rmb=12},26,,Buy stamina 3 times,Buy stamina 3 times
304,,4,8829,{rmb=12;card={id=1021}},26,,Buy stamina 4 times,Buy stamina 4 times
305,,5,8829,{rmb=12;card={id=1141}},26,,Buy stamina 5 times,Buy stamina 5 times
