VariableName,huodongID,index,pos,event,awards,texiao
Defaults,1001,1,{x=0;y=0},0,{},<>
ID,活动版本号,格子位置（1-54）,pos,事件（1转盘|2厄运卡|3+活动币|4-币|5飞跃格|6小店|99宝藏）,awards,texiao
1,,,,,,
2,,2,,3,,
3,,3,,,,
4,,4,,3,,
5,,5,,4,,
6,,6,,1,,
7,,7,,3,,
8,,8,,,,
9,,9,,3,,
10,,10,,4,,
11,,11,,3,,
12,,12,,6,,
13,,13,,5,,
14,,14,,,,
15,,15,,3,,
16,,16,,3,,
17,,17,,4,,
18,,18,,1,,
19,,19,,3,,
20,,20,,,,
21,,21,,4,,
22,,22,,2,,
23,,23,,3,,
24,,24,,5,,
25,,25,,,,
26,,26,,3,,
27,,27,,6,,
28,,28,,4,,
29,,29,,,,
30,,30,,3,,
31,,31,,1,,
32,,32,,,,
33,,33,,3,,
34,,34,,5,,
35,,35,,,,
36,,36,,2,,
37,,37,,3,,
38,,38,,,,
39,,39,,6,,
40,,40,,4,,
41,,41,,3,,
42,,42,,3,,
43,,43,,,,
44,,44,,5,,
45,,45,,3,,
46,,46,,4,,
47,,47,,2,,
48,,48,,3,,
49,,49,,,,
50,,50,,3,,
51,,51,,1,,
52,,52,,4,,
53,,53,,6,,
54,,54,,3,,
101,1201,,{y=160;x=20},,,
102,1201,2,{y=360;x=176},,{talent_point=10},
103,1201,3,{y=430;x=376},,{500=1},
104,1201,4,{y=610;x=540},,{930=300},
105,1201,5,{y=740;x=440},,{8888=1},<1>
106,1201,6,{y=732;x=194},,{452=100},
107,1201,7,{y=950;x=190},,{520=10},
108,1201,8,{y=1068;x=312},,{2103=100},
109,1201,9,{y=1022;x=493},,{gold=5000000},
110,1201,10,{y=940;x=710},,{rmb=8888},<1>
111,1201,11,{y=1050;x=925},,{851=150},
112,1201,12,{y=890;x=1100},,{6050=1},
113,1201,13,{y=950;x=1320},,{15=10},
114,1201,14,{y=1030;x=1560},,{521=10},
115,1201,15,{y=1056;x=1760},,{2153=1},<1>
116,1201,16,{y=936;x=1890},,{gold=2000000},
117,1201,17,{y=790;x=1736},,{6050=1},
118,1201,18,{y=738;x=1496},,{rmb=888},
119,1201,19,{y=560;x=1436},,{talent_point=10},
120,1201,20,{y=470;x=1586},,{930=300},
121,1201,21,{y=590;x=1820},,{9056=1},<1>
122,1201,22,{y=430;x=1940},,{452=100},
123,1201,23,{y=260;x=1740},,{520=10},
124,1201,24,{y=230;x=1515},,{gold=2000000},
125,1201,25,{y=250;x=1310},,{500=1},
126,1201,26,{y=310;x=1110},,{6059=1},<1>
127,1201,27,{y=210;x=910},,{521=10},
128,1201,28,{y=180;x=690},,{rmb=888},
129,1201,29,{y=176;x=480},,{851=150},
130,1201,30,{y=110;x=260},,{15=10},
