VariableName,huodongID,type,items,prices,weight
Defaults,1001,1,{},{},100
ID,活动版本号,类型(1游戏道具池2核心资源池),商品,价格,权值
1,,,{8116=1},{8102=9},
2,,,{8114=1},{8102=5},150
3,,,{8113=1},{8102=4},150
4,,,{8117=1},{8102=3},150
5,,,{8115=1},{8102=2},150
7,,2,{930=10},{rmb=30},
8,,2,{5000=10},{rmb=30},
9,,2,{902=5},{rmb=30},
10,,2,{2103=3},{rmb=50},
11,,2,{4000=50},{rmb=30},
12,,2,{100=3},{rmb=30},
13,,2,{851=50},{rmb=30},
14,,2,{529=500},{rmb=100},
51,,2,{502=1},{rmb=28},10
52,,2,{521=1},{rmb=88},10
53,,2,{515=1},{rmb=20},10
54,,2,{519=1},{rmb=100},10
55,,2,{527=1},{rmb=108},10
56,,2,{503=1},{rmb=38},10
57,,2,{520=1},{rmb=58},10
58,,2,{531=1},{rmb=38},10
59,,2,{501=1},{rmb=208},10
