VariableName,huodongID,level,needExp,award,unlockPart
Defaults,0,1,0,{},0
ID,活动版本ID,等级,升级所需经验,等级奖励,解锁部位
1,101030,0,100,,10000
2,101030,,200,{gold=1080000;521=2;rmb=168;503=4},10001
3,101030,2,300,{502=3;gold=680000;rmb=88;503=2},
4,101030,3,400,{502=1;gold=280000;rmb=38;503=1},
5,101030,4,500,{gold=1680000;521=4;rmb=288;503=6},1
6,101030,5,600,{gold=1080000;521=2;rmb=168;503=4},
7,101030,6,700,{502=3;gold=680000;rmb=88;503=2},
8,101030,7,800,{502=1;gold=280000;rmb=38;503=1},10002
9,101030,8,900,{gold=1680000;521=4;rmb=288;503=6},
10,101030,9,1000,{gold=1080000;521=2;rmb=168;503=4},
11,101030,10,1000,{502=3;gold=680000;rmb=88;503=2},2
12,101030,11,1000,{502=1;gold=280000;rmb=38;503=1},
13,101030,12,1000,{gold=1680000;521=4;rmb=288;503=6},10003
14,101030,13,1000,{gold=1080000;521=2;rmb=168;503=4},
15,101030,14,1000,{502=3;gold=680000;rmb=88;503=2},3
16,101030,15,1000,{502=1;gold=280000;rmb=38;503=1},
101,10001,0,50,,10000
102,10001,,100,{519=3;951=5;22041=5;2319=1},10001
103,10001,2,150,{5000=100;stamina=100;gold=288000;22101=5},1
104,10001,3,250,{930=100;22041=10;503=5;2237=1},
105,10001,4,350,{902=20;22101=10;901=30;rmb=188},10002
106,10001,5,450,{2020=1;922=1;22041=10;16=30},
107,10001,6,600,{4000=300;gold=588000;962=2;22101=10},2
108,10001,7,750,{604=10;602=20;22041=15;2238=1},
109,10001,8,1000,{529=5000;gold=880000;973=1;22101=15},10003
110,10001,9,1250,{6050=1;22041=20;501=3;8000=1},
111,10001,10,1250,{6059=1;rmb=388;2152=1;22101=20},3
