VariableName,huodongID,tab,tabText,item,costMap,buyMax,refresh
Defaults,0,1,"""""",{},{rmb=999999},10,FALSE
ID,活动版本ID,页签序号,页签文字,道具id,原价,购买次数上限,刷新方式（无刷新/每日刷新）
101,23101,,,{2025=1},{6393=20},1,
102,23101,,,{2414=1},{6393=50},1,
103,23101,,,{2211=1},{6393=50},1,
104,23101,,,{2152=1},{6393=50},1,
105,23101,,,{27001=5},{6393=10},30,
106,23101,,,{30319=1},{6393=50},1,
107,23101,,,{925=1},{6393=50},1,
108,23101,,,{942=1},{6393=100},1,
109,23101,,,{6059=1},{6393=100},1,
110,23101,,,{6050=1},{6393=60},1,
111,23101,,,{973=1},{6393=30},2,
112,23101,,,{29002=50},{6393=1},1,
113,23101,,,{501=1},{6393=15},5,
114,23101,,,{962=1},{6393=25},3,
115,23101,,,{talent_point=2},{6393=10},5,
116,23101,,,{gold=200000},{6393=5},20,
117,23101,,,{930=15},{6393=5},20,
118,23101,,,{5000=15},{6393=5},20,
119,23101,,,{2103=2},{6393=5},20,
131,23102,,,{2025=1},{6394=20},1,
132,23102,,,{2414=1},{6394=50},1,
133,23102,,,{2211=1},{6394=50},1,
134,23102,,,{2152=1},{6394=50},1,
135,23102,,,{27001=5},{6394=10},30,
136,23102,,,{30319=1},{6394=50},1,
137,23102,,,{925=1},{6394=50},1,
138,23102,,,{942=1},{6394=100},1,
139,23102,,,{6059=1},{6394=100},1,
140,23102,,,{6050=1},{6394=60},1,
141,23102,,,{973=1},{6394=30},2,
142,23102,,,{29002=50},{6394=1},1,
143,23102,,,{501=1},{6394=15},5,
144,23102,,,{962=1},{6394=25},3,
145,23102,,,{talent_point=2},{6394=10},5,
146,23102,,,{gold=200000},{6394=5},20,
147,23102,,,{930=15},{6394=5},20,
148,23102,,,{5000=15},{6394=5},20,
149,23102,,,{2103=2},{6394=5},20,
160,23103,,,{2030=1},{6394=20},1,
161,23103,,,{2329=1},{6394=20},1,
162,23103,,,{2420=1},{6394=50},1,
163,23103,,,{2243=1},{6394=50},1,
164,23103,,,{2152=1},{6394=50},1,
165,23103,,,{21771=5},{6394=10},30,
166,23103,,,{925=1},{6394=50},1,
167,23103,,,{942=1},{6394=100},1,
168,23103,,,{974=1},{6394=100},1,
169,23103,,,{6050=1},{6394=60},1,
170,23103,,,{7304=1},{6394=50},2,
171,23103,,,{29002=50},{6394=50},1,
172,23103,,,{501=1},{6394=15},3,
173,23103,,,{962=1},{6394=25},2,
174,23103,,,{talent_point=2},{6394=10},5,
175,23103,,,{gold=200000},{6394=5},20,
176,23103,,,{930=15},{6394=5},20,
177,23103,,,{5000=15},{6394=5},20,
178,23103,,,{2103=2},{6394=5},20,
179,23103,,,{124=1},{6394=5},20,
190,23104,,,{2030=1},{6394=20},1,
191,23104,,,{2329=1},{6394=20},1,
192,23104,,,{2420=1},{6394=50},1,
193,23104,,,{2243=1},{6394=50},1,
194,23104,,,{2152=1},{6394=50},1,
195,23104,,,{21771=5},{6394=10},30,
196,23104,,,{922=1},{6394=30},2,
197,23104,,,{942=1},{6394=100},1,
198,23104,,,{6050=1},{6394=60},1,
199,23104,,,{973=1},{6394=50},2,
200,23104,,,{29002=50},{6394=50},1,
201,23104,,,{501=1},{6394=15},3,
202,23104,,,{962=1},{6394=25},3,
203,23104,,,{talent_point=2},{6394=10},5,
204,23104,,,{gold=200000},{6394=5},20,
205,23104,,,{930=15},{6394=5},20,
206,23104,,,{5000=15},{6394=5},20,
207,23104,,,{2103=2},{6394=5},20,
