VariableName,huodongID,costMap,items,exchangeTimes,limit,desc,desc_vn,desc_en,desc_th
Defaults,0,{},{},0,{},"""""","""""","""""",""""""
ID,活动版本ID,消耗道具,兑换道具,兑换限制次数0无限,兑换限制(1-vip;2-等级;3-图鉴;4-头像;5-皮肤),描述,描述,描述,描述
1,10001,{rmb=11;gold=100},{gold=1},10,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
2,10001,{rmb=13;gold=100},{gold=1},5,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
3,10001,{rmb=13;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
4,10001,{rmb=15;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
5,10001,{rmb=16;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
6,10001,{rmb=18;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
7,10001,{gold=109},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
8,10001,{gold=111},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
11,10002,{rmb=11;gold=100},{gold=1},10,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
12,10002,{rmb=13;gold=100},{gold=1},5,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
13,10002,{rmb=13;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
14,10002,{rmb=15;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
15,10002,{rmb=16;gold=100},{gold=1},4,,Sự kiện thử nghiệm,Sự kiện thử nghiệm,Test Event,Sự kiện thử nghiệm
