VariableName,huodongID,needLevel,desc,desc_tw,desc_en,desc_vn,desc_kr,award
Defaults,0,1,"""""","""""","""""","""""","""""",{}
ID,活动版本ID,要求等级,描述,描述,描述,描述_越南,描述_韩,奖励
1,3001,5,Cấp độ đạt 5 ,等級到達5級,Reach Lv.5,Đẳng cấp đến 5 Cấp,레벨 5 달성,{11=10;rmb=50;gold=10000}
2,3001,10,Cấp độ đạt 10,等級到達10級,Reach Lv.10,Đẳng cấp đến 10 Cấp,레벨 10 달성,{11=15;rmb=60;gold=20000}
3,3001,15,Cấp độ đạt 15,等級到達15級,Reach Lv.15,Đạt LV15,레벨 15 달성,{11=20;rmb=70;gold=30000}
4,3001,20,Cấp độ đạt 20,等級到達20級,Reach Lv.20,Đạt LV20,레벨 20 달성,{gold=40000;rmb=80;12=20}
5,3001,25,Cấp độ đạt 25,等級到達25級,Reach Lv.25,Đạt LV25,레벨 25 달성,{gold=50000;rmb=90;12=25}
6,3001,30,Cấp độ đạt 30,等級到達30級,Reach Lv.30,Đạt LV30,레벨 30 달성,{gold=60000;rmb=100;12=30}
7,3001,35,Cấp độ đạt 35,等級到達35級,Reach Lv.35,Đạt LV35,레벨 35 달성,{gold=70000;rmb=110;12=35}
8,3001,40,Cấp độ đạt 40,等級到達40級,Reach Lv.40,Đạt LV40,레벨 40 달성,{gold=80000;rmb=120;12=40}
9,3001,45,Cấp độ đạt 45,等級到達45級,Reach Lv.45,Đạt LV45,레벨 45 달성,{13=20;rmb=130;gold=90000}
10,3001,50,Cấp độ đạt 50,等級到達50級,Reach Lv.50,Đạt LV50,레벨 50 달성,{13=25;rmb=140;gold=100000}
