VariableName,huodongID,pointRequire,award,boxIcon
Defaults,,0,{},1
ID,huodongID,pointRequire,award,boxIcon
1,20191030,30,{21271=10;rmb=1000},
2,20191030,100,{21271=15;rmb=1000},
3,20191030,300,{21271=20;rmb=1000},2
4,20191030,1000,{21271=25;rmb=1000},2
5,20191030,2000,{21271=30;rmb=1000},3
6,20191030,3500,{21271=50;rmb=1000},3
7,20191030,5000,{31301=1;rmb=1000},3
11,1001,10,{501=1;gold=60000;21891=2},
12,1001,30,{501=1;gold=80000;21891=2},
13,1001,100,{501=1;gold=100000;21891=3},
14,1001,200,{501=1;gold=120000;21891=3},2
15,1001,400,{501=2;gold=140000;21891=5},2
16,1001,600,{501=2;gold=160000;21891=5},2
17,1001,900,{501=2;gold=180000;21891=10},3
18,1001,1200,{501=2;gold=200000;21891=10},3
19,1001,1500,{501=3;gold=220000;21891=15},3
21,1002,30,{21251=2;501=1;gold=60000},
22,1002,100,{21251=2;501=2;gold=80000},
23,1002,300,{21251=3;501=2;gold=100000},
24,1002,600,{21251=3;501=3;gold=120000},2
25,1002,1200,{21251=5;501=3;gold=140000},2
26,1002,1800,{21251=5;501=4;gold=160000},2
27,1002,2700,{21251=10;501=5;gold=180000},3
28,1002,3600,{21251=10;501=6;gold=200000},3
29,1002,5000,{21251=15;501=8;gold=220000},3
31,1003,30,{501=1;21421=2;gold=60000},
32,1003,100,{501=2;21421=2;gold=80000},
33,1003,300,{501=2;21421=3;gold=100000},
34,1003,600,{501=3;21421=3;gold=120000},2
35,1003,1200,{501=3;21421=5;gold=140000},2
36,1003,1800,{501=4;21421=5;gold=160000},2
37,1003,2700,{501=5;21421=10;gold=180000},3
38,1003,3600,{501=6;21421=10;gold=200000},3
39,1003,5000,{501=8;21421=15;gold=220000},3
41,1004,30,{501=1;21901=2;gold=60000},
42,1004,100,{501=2;21901=2;gold=80000},
43,1004,300,{501=2;21901=3;gold=100000},
44,1004,600,{501=3;21901=3;gold=120000},2
45,1004,1200,{501=3;21901=5;gold=140000},2
46,1004,1800,{501=4;21901=5;gold=160000},2
47,1004,2700,{501=5;21901=10;gold=180000},3
48,1004,3600,{501=6;21901=10;gold=200000},3
49,1004,5000,{501=8;21901=15;gold=220000},3
51,1005,30,{22231=3;501=1;gold=60000},
52,1005,100,{22231=5;501=2;gold=80000},
53,1005,300,{22231=5;501=2;gold=100000},
54,1005,600,{22231=7;501=3;gold=120000},2
55,1005,1200,{22231=10;501=3;gold=140000},2
56,1005,1800,{22231=10;501=4;gold=160000},2
57,1005,2700,{22231=15;501=5;gold=180000},3
58,1005,3600,{22231=15;501=6;gold=200000},3
59,1005,5000,{22231=30;501=8;gold=220000},3
61,1006,30,{22241=3;501=1;gold=60000},
62,1006,100,{22241=5;501=2;gold=80000},
63,1006,300,{22241=5;501=2;gold=100000},
64,1006,600,{22241=7;501=3;gold=120000},2
65,1006,1200,{22241=10;501=3;gold=140000},2
66,1006,1800,{22241=10;501=4;gold=160000},2
67,1006,2700,{22241=15;501=5;gold=180000},3
68,1006,3600,{22241=15;501=6;gold=200000},3
