VariableName,huodongID,rank,award,pointLeast,desc,desc_vn
Defaults,,,{},0,无奖励吗,无奖励吗
ID,活动版本号,名次内,排行奖励,积分限制,奖励描述,奖励描述
1,20191030,1,{21271=100;card={id=1271}},7000,凤王+碎片*100,
2,20191030,2,{21271=80;card={id=1271}},5000,凤王+碎片*80,
3,20191030,3,{card={id=1271}},3500,凤王,
4,20191030,4,{21271=80},2000,凤王碎片*80,
5,20191030,5,{21271=50},1000,凤王碎片*50,
6,20191030,30,{21271=30},,凤王碎片*30,
11,1001,1,{21971=240;501=5;card={id=1971}},2200,,
12,1001,2,{21971=160;501=4;card={id=1971}},1600,,
13,1001,3,{21971=80;501=4;card={id=1971}},1400,,
14,1001,6,{14=40;501=4;card={id=1971}},1200,,
15,1001,10,{14=30;501=3;21891=80},700,,
16,1001,20,{14=30;501=2;21891=50},400,,
17,1001,30,{14=30;501=2;21891=30},,,
21,1002,1,{21261=240;501=5;card={id=1261}},7000,,
22,1002,2,{21261=160;501=4;card={id=1261}},5000,,
23,1002,3,{21261=80;501=4;card={id=1261}},4000,,
24,1002,6,{14=40;501=4;card={id=1261}},3500,,
25,1002,10,{14=30;21251=80;501=3},2000,,
26,1002,20,{14=30;21251=50;501=2},1000,,
27,1002,30,{14=30;21251=30;501=2},,,
31,1003,1,{501=5;23631=240;card={id=3631}},7000,,
32,1003,2,{501=4;23631=160;card={id=3631}},5000,,
33,1003,3,{501=4;23631=80;card={id=3631}},4000,,
34,1003,6,{14=40;501=4;card={id=3631}},3500,,
35,1003,10,{14=30;501=3;21421=80},2000,,
36,1003,20,{14=30;501=2;21421=50},1000,,
37,1003,30,{14=30;501=2;21421=30},,,
41,1004,1,{21981=240;501=5;card={id=1981}},7000,,
42,1004,2,{21981=160;501=4;card={id=1981}},5000,,
43,1004,3,{21981=80;501=4;card={id=1981}},4000,,
44,1004,6,{14=40;501=4;card={id=1981}},3500,,
45,1004,10,{14=30;501=3;21901=80},2000,,
