VariableName,huodongID,_beizhu,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""",{},1000,0,300,0,0,<>,0,0,0,0,0,0,"""""",""""""
ID,活动版本ID,备注,名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,道具id,价格,recharge表id,持续时间（分钟）,排序,互斥组（0表示非互斥）,累计充值钻石区间（左闭右闭）,触发条件类型1（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数1-1,条件参数1-2(markID/rarity),触发条件类型2（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数2-1,条件参数2-2(markID/rarity),背景图资源路径,倒计时背景资源路径
1001,23001,,Lv.10 Pack,Gói Lv.10,Lv.10 Pack,แพ็ก Lv.10,Paket Lv.10,Lv.10 na Pakete,Pakej Lv.10,{rmb=12;card={id=21}},,102,1440,,,,1,10,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1002,23001,,Lv.20 Pack,Gói Lv.20,Lv.20 Pack,แพ็ก Lv.20,Paket Lv.20,Lv.20 na Pakete,Pakej Lv.20,{rmb=12;card={id=21}},,102,1440,,,,1,20,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1003,23001,,Lv.30 Pack,Gói Lv.30,Lv.30 Pack,แพ็ก Lv.30,Paket Lv.30,Lv.30 na Pakete,Pakej Lv.30,{rmb=12;card={id=21}},,103,1440,,,,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1004,23001,,Lv.40 Pack,Gói Lv.40,Lv.40 Pack,แพ็ก Lv.40,Paket Lv.40,Lv.40 na Pakete,Pakej Lv.40,{rmb=12;card={id=21}},,104,1440,,,,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1005,23001,,Level-Up Gift Pack,Gói quà tăng cấp,Level-Up Gift Pack,แพ็กของขวัญเลเวลอัป,Paket Hadiah Naik Level,Level-Up Gift Pack,Pakej Hadiah Naik Tahap,{rmb=12;card={id=21}},,105,1440,,,,2,10101,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1006,23001,,SS Ninja Breakthrough Pack,Gói đột phá Ninja SS,SS Ninja Breakthrough Pack,แพ็กทะลวงขีดจำกัดนินจา SS,Paket Terobosan Ninja SS,SS Ninja Breakthrough Pack,Pakej Penembusan Ninja SS,{rmb=12;card={id=21}},,106,1440,,,,3,1,11,,,,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
1007,23001,,Activate Pack Immediately,Kích hoạt Gói ngay lập tức,Activate Pack Immediately,เปิดใช้งานแพ็กทันที,Aktifkan Paket Sekarang,I-activate ang Pack Agad,Aktifkan Pakej Segera,{rmb=12;card={id=21}},,107,1440,,,,7,,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1008,23001,,Daily Character Creation Pack,Gói tạo nhân vật ngày,Daily Character Creation Pack,แพ็กสร้างตัวละครประจำวัน,Paket Pembuatan Karakter Harian,Araw-araw na Character Creation Pack,Pakej Cipta Watak Harian,{12=3},,108,1440,,,,4,2,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
