VariableName,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,award,award_en,award_vn
Defaults,0,0,"""""","""""","""""","""""","""""",{},{},{}
ID,活动版本ID,累计天数,描述,描述,描述,描述_越南,描述_韩,奖励,奖励,奖励
1,1001,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Trời đăng nhập ban thưởng,1일 로그인 보상,{20001=2;rmb=60;card={id=11}},{20001=2;rmb=60;card={id=11}},{20001=2;rmb=60;card={id=11}}
2,1001,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Thưởng Đăng Nhập 2 Ngày,2일 로그인 보상,{502=50;rmb=100;12=20},{502=50;rmb=100;12=20},{502=50;rmb=100;12=20}
3,1001,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Thưởng Đăng Nhập 3 Ngày,3일 로그인 보상,{gold=10000;rmb=200;12=20},{gold=10000;rmb=200;12=20},{gold=10000;rmb=200;12=20}
4,1001,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Thưởng Đăng Nhập 4 Ngày,4일 로그인 보상,{gold=20000;rmb=300;12=20},{gold=20000;rmb=300;12=20},{gold=20000;rmb=300;12=20}
5,1001,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Thưởng Đăng Nhập 5 Ngày,5일 로그인 보상,{gold=30000;rmb=400;12=20},{gold=30000;rmb=400;12=20},{gold=30000;rmb=400;12=20}
6,1001,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Thưởng Đăng Nhập 6 Ngày,6일 로그인 보상,{gold=40000;rmb=500;12=20},{gold=40000;rmb=500;12=20},{gold=40000;rmb=500;12=20}
7,1001,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Thưởng Đăng Nhập 7 Ngày,7일 로그인 보상,{gold=50000;rmb=600;12=20},{gold=50000;rmb=600;12=20},{gold=50000;rmb=600;12=20}
11,1002,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Trời đăng nhập ban thưởng,1일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
12,1002,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Thưởng Đăng Nhập 2 Ngày,2일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
13,1002,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Thưởng Đăng Nhập 3 Ngày,3일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
14,1002,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Thưởng Đăng Nhập 4 Ngày,4일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
15,1002,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Thưởng Đăng Nhập 5 Ngày,5일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
16,1002,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Thưởng Đăng Nhập 6 Ngày,6일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
17,1002,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Thưởng Đăng Nhập 7 Ngày,7일 로그인 보상,{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000},{6318=5;rmb=100;gold=100000}
