VariableName,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,addTimes
Defaults,0,0,9999,{},"""""","""""","""""","""""","""""",0
ID,活动版本ID,任务类型,任务参数,任务特殊参数,任务描述,任务描述,任务描述,任务描述,任务描述,奖励抽卡次数
1,1001,17,1,,当日登录游戏,當日登錄遊戲,,Đăng nhập game ngay trong ngày,당일 게임 로그인,1
2,1001,18,5,,当日聚宝5次,當日聚寶5次,,Kho báu 5 lần trong ngày,당일 보물단지 5회,1
3,1001,41,5,,当日进行5次竞技场挑战,當日進行5次競技場挑戰,,Chơi 5 thử thách đấu trường trong ngày,당일 아레나 도전 5회,1
11,1001,28,100,,当日消耗体力达100点,當日消耗體力達100點,,Tiêu hao 100 điểm thế lực trong ngày,당일 체력 100 소모,1
12,1001,28,300,,当日消耗体力达300点,當日消耗體力達300點,,Tiêu hao 300 điểm thế lực trong ngày,당일 체력 300 소모,1
13,1001,28,600,,当日消耗体力达600点,當日消耗體力達600點,,Tiêu hao 600 điểm thế lực trong ngày,당일 체력 600 소모,1
14,1001,28,900,,当日消耗体力达900点,當日消耗體力達900點,,Tiêu hao 900 điểm thể lực trong ngày,당일 체력 900 소모,1
15,1001,28,1200,,当日消耗体力达1200点,當日消耗體力達1200點,,Tiêu hao 1200 điểm thế lực trong ngày,당일 체력 1200 소모,1
21,1001,22,60,,当日充值60钻,當日儲值60鑽,,Nạp 60 Nguyên Bảo trong ngày,당일 60 다이아 충전,1
22,1001,22,300,,当日充值300钻,當日儲值300鑽,,Nạp 300 Nguyên Bảo trong ngày,당일 300 다이아 충전,1
31,1001,21,200,,当日消耗200钻,當日消耗200鑽,,Tiêu hao 200 viên Nguyên Bảo trong ngày,당일 200 다이아 소모,1
32,1001,21,500,,当日消耗500钻,當日消耗500鑽,,Tiêu hao 500 viên Nguyên Bảo trong ngày,당일 500 다이아 소모,1
