VariableName,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
Defaults,,,,{},{},0,<>
ID,活动版本ID,等级,升下一级所需经验,普通奖励,进阶奖励,特殊展示,特效展示序号
1,1001,1,100,{gold=1000000},{rmb=200},,
2,1001,2,100,{coin4=30},{520=2},,
3,1001,3,100,{14=50},{16=30;15=20},,
4,1001,4,100,{19=2},{801=1;19=10},,
5,1001,5,100,{gold=1000000},{gold=3000000},,
6,1001,6,100,{coin4=500},{520=1;coin4=2000},,
7,1001,7,100,{532=20},{533=10},,
8,1001,8,100,{940=5},{941=5;942=5},,
9,1001,9,100,{rmb=100},{rmb=300},,
10,1001,10,100,{920=1},{921=2},1,<1;2>
11,1001,11,100,{520=2},{521=2},,
12,1001,12,100,{21161=10},{card={id=1161}},,
13,1001,13,100,{gold=1000000},{rmb=200},,
14,1001,14,100,{coin4=30},{520=2},,
15,1001,15,100,{14=50},{16=30;15=20},,
16,1001,16,100,{19=2},{801=1;19=10},,
17,1001,17,100,{gold=1000000},{gold=3000000},,
18,1001,18,100,{coin4=500},{520=1;coin4=2000},,
19,1001,19,100,{800=5},{800=10;801=5},,
20,1001,20,100,{940=5},{941=5;942=5},1,<1;2;3>
21,1001,21,100,{rmb=100},{rmb=300},,
22,1001,22,100,{920=1},{921=2},,
23,1001,23,100,{520=2},{521=2},,
24,1001,24,100,{21161=10},{card={id=1161}},,
25,1001,25,100,{gold=1000000},{rmb=200},,
26,1001,26,100,{coin4=30},{520=2},,
27,1001,27,100,{14=50},{16=30;15=20},,
28,1001,28,100,{19=2},{801=1;19=10},,
29,1001,29,100,{gold=1000000},{gold=3000000},,
30,1001,30,100,{coin4=500},{520=1;coin4=2000},1,<1;2;3>
31,1001,31,100,{800=5},{800=10;801=5},,
32,1001,32,100,{940=5},{941=5;942=5},,
33,1001,33,100,{rmb=100},{rmb=300},,
34,1001,34,100,{920=1},{921=2},,
35,1001,35,100,{520=2},{521=2},,
36,1001,36,100,{21161=10},{card={id=1161}},,
37,1001,37,100,{gold=1000000},{rmb=200},,
38,1001,38,100,{coin4=30},{520=2},,
39,1001,39,100,{14=50},{16=30;15=20},,
40,1001,40,100,{19=2},{801=1;19=10},1,<1;2;3>
41,1001,41,100,{gold=1000000},{gold=3000000},,
42,1001,42,100,{coin4=500},{520=1;coin4=2000},,
43,1001,43,100,{800=5},{800=10;801=5},,
44,1001,44,100,{940=5},{941=5;942=5},,
45,1001,45,100,{rmb=100},{rmb=300},,
46,1001,46,100,{920=1},{921=2},,
47,1001,47,100,{520=2},{521=2},,
48,1001,48,100,{21161=10},{card={id=1161}},,
49,1001,49,100,{gold=1000000},{rmb=200},,
50,1001,50,100,{coin4=30},{520=2},1,<1;2>
51,1001,51,100,{14=50},{16=30;15=20},,
52,1001,52,100,{19=2},{801=1;19=10},,
53,1001,53,100,{gold=1000000},{gold=3000000},,
54,1001,54,100,{coin4=500},{520=1;coin4=2000},,
55,1001,55,100,{800=5},{800=10;801=5},,
56,1001,56,100,{940=5},{941=5;942=5},,
57,1001,57,100,{rmb=100},{rmb=300},,
58,1001,58,100,{920=1},{921=2},,
59,1001,59,100,{520=2},{521=2},,
60,1001,60,100,{21161=10},{card={id=1161}},1,<1;2>
61,1001,61,100,{gold=1000000},{rmb=200},,
62,1001,62,100,{coin4=30},{520=2},,
63,1001,63,100,{14=50},{16=30;15=20},,
64,1001,64,100,{19=2},{801=1;19=10},,
65,1001,65,100,{gold=1000000},{gold=3000000},,
66,1001,66,100,{coin4=500},{520=1;coin4=2000},,
67,1001,67,100,{800=5},{800=10;801=5},,
68,1001,68,100,{940=5},{941=5;942=5},,
69,1001,69,100,{rmb=100},{rmb=300},,
70,1001,70,100,{920=1},{921=2},1,<1;2>
71,1001,71,100,{520=2},{521=2},,
72,1001,72,100,{21161=10},{card={id=1161}},,
73,1001,73,100,{gold=1000000},{rmb=200},,
74,1001,74,100,{coin4=30},{520=2},,
75,1001,75,100,{14=50},{16=30;15=20},,
76,1001,76,100,{19=2},{801=1;19=10},,
77,1001,77,100,{gold=1000000},{gold=3000000},,
78,1001,78,100,{coin4=500},{520=1;coin4=2000},,
79,1001,79,100,{800=5},{800=10;801=5},,
80,1001,80,100,{940=5},{941=5;942=5},1,<1;2;3>
81,1001,81,100,{rmb=100},{rmb=300},,
82,1001,82,100,{920=1},{921=2},,
83,1001,83,100,{520=2},{521=2},,
84,1001,84,100,{21161=10},{card={id=1161}},,
85,1001,85,100,{gold=1000000},{rmb=200},,
86,1001,86,100,{coin4=30},{520=2},,
87,1001,87,100,{14=50},{16=30;15=20},,
88,1001,88,100,{19=2},{801=1;19=10},,
89,1001,89,100,{gold=1000000},{gold=3000000},,
90,1001,90,100,{coin4=500},{520=1;coin4=2000},1,<1;2;3>
91,1001,91,100,{800=5},{800=10;801=5},,
92,1001,92,100,{940=5},{941=5;942=5},,
