VariableName,_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_th,title_en,title_vn,title_kr,desc,desc_th,desc_en,desc_vn,desc_kr,exp,goToPanel
Defaults,,0,1,1,3,0,9999,{},"""""","""""","""""","""""","""""",Completing task to get EXP.,ทำภารกิจให้สำเร็จเพื่อรับค่าประสบการณ์ (EXP),Completing task to get EXP.,Hoàn thành nhiệm vụ nhận điểm kinh nghiệm,퀘스트 완료 시 경험치 획득 가능,0,
ID,备注,活动版本ID,周期类型（1=每日;2=每周）,周参数（第几周）,任务属性(3=普通;4=大师专属),任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,标题,标题,标题,标题_越南,标题_韩,描述,描述,描述,描述_越南,描述_韩,奖励,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动接口roleLogo头像接口figure个人形象接口gainGold点金接口recharge充值接口gainStamina购买体力friend好友接口cardBag背包接口strengthen还有培养接口handbook图鉴接口任意英文-数字表示其页签
1,,1001,,,,18,1,,Receive treasure once,รับสมบัติครั้งเดียว,Receive treasure once,Nhận kho báu một lần,,,,,,,10,gainGold
2,,1001,,,,20,100000,,Spend 100000 Coins,ใช้ 100000 เหรียญ,Spend 100000 Coins,Tiêu 100000 Xu đồng,,,,,,,10,
3,,1001,,,,21,300,,Spend 300 Primogems,ใช้ 300 เพชร,Spend 300 Primogems,Tiêu 300 Nguyên bảo,,,,,,,20,
4,,1001,,,,26,1,,Buy 1 stamina,ซื้อพลังงาน 1 ครั้ง,Buy 1 stamina,Mua 1 thể lực,,,,,,,20,gainStamina
5,,1001,,,,29,10,,Clear the normal stage 10 times,ผ่านด่านปกติ 10 ครั้ง,Clear the normal stage 10 times,Vượt ải bình thường 10 lần,,,,,,,10,10000
6,,1001,,,,30,3,,Hard stage challenge 3 times,ท้าทายด่านยาก 3 ครั้ง,Hard stage challenge 3 times,Thử thách ải khó 3 lần,,,,,,,20,20000
7,,1001,,,,36,3,,Upgrade Ninja 3 times,อัปเกรดนินจา 3 ครั้ง,Upgrade Ninja 3 times,Nâng cấp Ninja 3 lần,,,,,,,20,strengthen-1
8,,1001,,,,41,5,,Participate in the arena 5 times,เข้าร่วมสนามประลอง 5 ครั้ง,Participate in the arena 5 times,Tham đấu trường 5 lần,,,,,,,20,
9,,1001,2,,4,18,10,,Receive Treasure 10 times,รับสมบัติ 10 ครั้ง,Receive Treasure 10 times,Nhận Kho Báu 10 lần,,,,,,,20,gainGold
10,,1001,2,,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,20,
11,,1001,2,,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,30,
12,,1001,2,,,26,10,,Buy 10 stamina,ซื้อพลังงาน 10,Buy 10 stamina,Mua 10 thể lực,,,,,,,30,gainStamina
13,,1001,2,,,29,80,,Clear normal stage 80 times,ผ่านด่านปกติ 80 ครั้ง,Clear normal stage 80 times,Vượt ải bình thường 80 lần,,,,,,,30,10000
14,,1001,2,,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,30,20000
15,,1001,2,,,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,30,strengthen-1
16,,1001,2,,,41,20,,Participate in the arena 20 times,เข้าร่วมสังเวียน 20 ครั้ง,Participate in the arena 20 times,Tham gia đấu trường 20 lần,,,,,,,30,
17,,1001,2,2,4,18,10,,Receive Treasure 10 times,รับสมบัติ 10 ครั้ง,Receive Treasure 10 times,Nhận Kho Báu 10 lần,,,,,,,20,gainGold
18,,1001,2,2,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,20,
19,,1001,2,2,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,30,
20,,1001,2,2,,26,10,,Buy 10 stamina,ซื้อพลังงาน 10,Buy 10 stamina,Mua 10 thể lực,,,,,,,30,gainStamina
21,,1001,2,2,,29,80,,Clear normal stage 80 times,ผ่านด่านปกติ 80 ครั้ง,Clear normal stage 80 times,Vượt ải bình thường 80 lần,,,,,,,30,10000
22,,1001,2,2,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,30,20000
23,,1001,2,2,,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,30,strengthen-1
24,,1001,2,2,,41,20,,Participate in the arena 20 times,เข้าร่วมสังเวียน 20 ครั้ง,Participate in the arena 20 times,Tham gia đấu trường 20 lần,,,,,,,30,
25,,1001,2,3,4,18,10,,Receive Treasure 10 times,รับสมบัติ 10 ครั้ง,Receive Treasure 10 times,Nhận Kho Báu 10 lần,,,,,,,20,gainGold
26,,1001,2,3,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,20,
27,,1001,2,3,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,30,
28,,1001,2,3,,26,10,,Buy 10 stamina,ซื้อพลังงาน 10,Buy 10 stamina,Mua 10 thể lực,,,,,,,30,gainStamina
29,,1001,2,3,,29,80,,Clear normal stage 80 times,ผ่านด่านปกติ 80 ครั้ง,Clear normal stage 80 times,Vượt ải bình thường 80 lần,,,,,,,30,10000
30,,1001,2,3,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,30,20000
31,,1001,2,3,,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,30,strengthen-1
32,,1001,2,3,,41,20,,Participate in the arena 20 times,เข้าร่วมสังเวียน 20 ครั้ง,Participate in the arena 20 times,Tham gia đấu trường 20 lần,,,,,,,30,
33,,1001,2,4,4,18,10,,Receive Treasure 10 times,รับสมบัติ 10 ครั้ง,Receive Treasure 10 times,Nhận Kho Báu 10 lần,,,,,,,20,gainGold
34,,1001,2,4,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,20,
35,,1001,2,4,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,30,
36,,1001,2,4,,26,10,,Buy 10 stamina,ซื้อพลังงาน 10,Buy 10 stamina,Mua 10 thể lực,,,,,,,30,gainStamina
37,,1001,2,4,,29,80,,Clear normal stage 80 times,ผ่านด่านปกติ 80 ครั้ง,Clear normal stage 80 times,Vượt ải bình thường 80 lần,,,,,,,30,10000
38,,1001,2,4,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,30,20000
39,,1001,2,4,,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,30,strengthen-1
40,,1001,2,4,,41,20,,Participate in the arena 20 times,เข้าร่วมสังเวียน 20 ครั้ง,Participate in the arena 20 times,Tham gia đấu trường 20 lần,,,,,,,30,
1001,,1002,,,4,15,1,,Daily Login,เข้าสู่ระบบรายวัน,Daily Login,Đăng nhập hàng ngày,,,,,,,15,
1002,,1002,,,4,29,30,,Fight in the normal stage 30 times,ต่อสู้ที่ด่านปกติ 30 ครั้ง,Fight in the normal stage 30 times,Chiến đấu ở ải bình thường 30 lần,,,,,,,15,10000
