VariableName,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
Defaults,,,,{},{},0,<>
ID,活动版本ID,等级,升下一级所需经验,普通奖励,进阶奖励,特殊展示,特效展示序号
1001001,1001,1,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{rmb=200},,
1001002,1001,2,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{520=2},1,<1;2>
1001003,1001,3,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{16=30;15=20},,
1001004,1001,4,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{4000=100;19=10},1,<1;2;3>
1001005,1001,5,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{gold=3000000},,
1001006,1001,6,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{520=1;coin4=2000},,
1001007,1001,7,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{533=10},,
1001008,1001,8,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{941=5;942=5},1,<1;2;3>
1001009,1001,9,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{533=10},,
1001010,1001,10,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{941=5;942=5},,
1001011,1001,11,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{4000=100;19=10},,
1001012,1001,12,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{gold=3000000},,
1001013,1001,13,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{520=1;coin4=2000},,
1001014,1001,14,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{533=10},,
1001015,1001,15,1,{coin4=100;coin1=10;gold=1000000;rmb=10},{941=5;942=5},1,<1;2;3>
1001101,1010,1,1,{519=2;6393=10;2324=1;rmb=128},{502=3;rmb=268},,
1001102,1010,2,1,{gold=200000;520=2;6393=10;rmb=128},{rmb=268;519=2},,
1001103,1010,3,1,{gold=200000;6393=10;rmb=128;503=3},{501=1;rmb=268},,
1001104,1010,4,1,{gold=200000;19=5;6393=10;rmb=128},{502=3;rmb=268},,
1001105,1010,5,1,{502=3;gold=200000;6393=10;rmb=128},{rmb=268;519=2},,
1001106,1010,6,1,{gold=200000;6393=10;501=2;rmb=128},{501=1;rmb=268},,
1001107,1010,7,1,{502=50;gold=200000;6393=10;rmb=128},{502=3;rmb=268},1,<1;2;3>
2001001,2001,1,100,{gold=1000000},{rmb=200},,
2001002,2001,2,200,{coin4=30},{520=2},,
2001003,2001,3,400,{14=50},{16=30;15=20},,
2001004,2001,4,800,{19=2},{4000=100;19=10},,
2001005,2001,5,1200,{gold=1000000},{gold=3000000},,
2001006,2001,6,1600,{coin4=500},{520=1;coin4=2000},,
2001007,2001,7,2000,{532=20},{533=10},,
2001008,2001,8,2400,{940=5},{941=5;942=5},,
2001009,2001,9,2800,{gold=1000001},{rmb=201},,
2001010,2001,10,3200,{coin4=31},{520=3},1,<1;2;3>
2001011,2001,11,3600,{14=51},{16=31;15=20},,
2001012,2001,12,4000,{19=3},{4000=200;19=10},,
2001013,2001,13,4400,{gold=1000000},{gold=3000000},,
2001014,2001,14,4800,{coin4=501},{520=2;coin4=2000},,
2001015,2001,15,5200,{532=21},{533=11},,
2001016,2001,16,5600,{940=6},{941=5;942=6},,
2001017,2001,17,6000,{gold=1000002},{rmb=202},,
2001018,2001,18,6400,{coin4=32},{520=4},,
2001019,2001,19,6800,{14=52},{16=32;15=20},,
2001020,2001,20,7200,{19=4},{4000=300;19=10},1,<1;2;3>
2001021,2001,21,7600,{gold=1000000},{gold=3000000},,
2001022,2001,22,8000,{coin4=502},{520=3;coin4=2000},,
2001023,2001,23,8400,{532=22},{533=12},,
2001024,2001,24,8800,{940=7},{941=5;942=7},,
2001025,2001,25,9200,{gold=1000003},{rmb=203},,
2001026,2001,26,9600,{coin4=33},{520=5},,
2001027,2001,27,10000,{14=53},{16=33;15=20},,
2001028,2001,28,10400,{19=5},{4000=400;19=10},,
2001029,2001,29,10800,{gold=1000000},{gold=3000000},,
2001030,2001,30,11200,{coin4=503},{520=4;coin4=2000},1,<1;2;3>
2001031,2001,31,11600,{532=23},{533=13},,
2001032,2001,32,12000,{940=8},{941=5;942=8},,
2001033,2001,33,12400,{gold=1000004},{rmb=204},,
2001034,2001,34,12800,{coin4=34},{520=6},,
2001035,2001,35,13200,{14=54},{16=34;15=20},,
2001036,2001,36,13600,{19=6},{4000=500;19=10},,
2001037,2001,37,14000,{gold=1000000},{gold=3000000},,
2001038,2001,38,14400,{coin4=504},{520=5;coin4=2000},,
2001039,2001,39,14800,{532=24},{533=14},,
2001040,2001,40,15200,{940=9},{941=5;942=9},1,<1;2;3>
3001001,3001,1,2,{gold=1000000},{rmb=200},,
3001002,3001,2,4,{coin4=30},{520=2},,
3001003,3001,3,6,{14=50},{16=30;15=20},,
3001004,3001,4,8,{19=2},{4000=100;19=10},,
3001005,3001,5,10,{gold=1000000},{gold=3000000},,
