VariableName,daySum,huodongID,amount,special,award,desc
,-1,0,0,{},{},
VariableName,daySum,huodongID,amount,special,award,desc
1,1,4003,300,,{22001=10;13=6;gold=60000},Accumulate 300 Diamonds
2,2,4003,300,,{22001=10;13=6;gold=70000},Accumulate 300 Diamonds
3,3,4003,300,,{22001=10;13=6;gold=80000},Accumulate 300 Diamonds
4,4,4003,300,,{22001=10;13=6;gold=90000},Accumulate 300 Diamonds
5,5,4003,300,{card={id=9002}},{22001=100;13=6;gold=100000;rmb=10},Accumulate 300 Diamonds
6,1,4004,600,,{13=6;21111=10;gold=60000},Accumulate 600 Diamonds
7,2,4004,600,,{13=6;21111=10;gold=70000},Accumulate 600 Diamonds
8,3,4004,600,,{13=6;21111=10;gold=80000},Accumulate 600 Diamonds
9,4,4004,600,,{13=6;21111=10;gold=90000},Accumulate 600 Diamonds
10,5,4004,600,{card={id=9003}},{13=6;card={id=1111};gold=90000;21111=10},Accumulate 600 Diamonds
11,1,4005,60,,{13=6;21091=10;gold=60000},Accumulate 300 Diamonds
12,2,4005,60,,{13=6;21091=10;gold=70000},Accumulate 300 Diamonds
13,3,4005,60,,{13=6;21091=10;gold=80000},Accumulate 300 Diamonds
14,4,4005,60,,{13=6;21091=10;gold=90000},Accumulate 300 Diamonds
15,5,4005,60,{card={id=9002}},{13=6;gold=100000;rmb=10;21091=100},Accumulate 300 Diamonds
101,1,4011,300,,{502=5;500=1;gold=1000000;2103=5},Accumulate 300 Diamonds
102,2,4011,300,,{502=10;500=1;gold=2000000;2103=10},Accumulate 300 Diamonds
103,3,4011,300,,{502=15;500=1;gold=3000000;2103=15},Accumulate 300 Diamonds
104,4,4011,300,,{502=15;500=2;gold=4000000;2103=20},Accumulate 300 Diamonds
105,5,4011,300,{card={id=9003}},{502=20;500=3;gold=5000000;2103=30;card={id=9003}},Accumulate 300 Diamonds
201,1,4012,300,,{502=2;20603=10;gold=120000;2103=5},Accumulate 300 Diamonds
202,2,4012,300,,{502=2;20603=10;gold=140000;2103=5},Accumulate 300 Diamonds
203,3,4012,300,,{502=2;20603=10;gold=160000;2103=5},Accumulate 300 Diamonds
204,4,4012,300,,{502=2;20603=10;gold=180000;2103=5},Accumulate 300 Diamonds
205,5,4012,300,{card={id=9002}},{20603=10;gold=200000;925=1;2103=5},Accumulate 300 Diamonds
211,1,4013,300,,{502=2;20603=10;gold=120000;2103=5},Accumulate 300 Diamonds
212,2,4013,300,,{502=2;20603=10;gold=140000;2103=5},Accumulate 300 Diamonds
213,3,4013,300,,{502=2;20603=10;gold=160000;2103=5},Accumulate 300 Diamonds
214,4,4013,300,,{502=2;20603=10;gold=180000;2103=5},Accumulate 300 Diamonds
215,5,4013,300,{card={id=9002}},{20603=10;gold=200000;925=1;2103=5},Accumulate 300 Diamonds
