VariableName,huodongID,themeType,taskLinks,isSync,isCooperative,theme,theme_tw,theme_en,theme_vn,theme_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,taskType,taskParam,taskSpecialParam,award,point,goto
Defaults,0,2,,FALSE,FALSE,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,9999,{},{},0,""""""
ID,活动版本ID,主题分类(1每日签到;2相逢有时),任务链,是否同步展示给老玩家,是否合作完成,任务主题,任务主题,任务主题,任务主题,任务主题,任务描述,任务描述,任务描述,任务描述,任务描述,任务类型,任务参数,任务特殊参数,任务奖励,任务积分,跳转目标
101,101016,,1,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到1天,累計登錄天數達到1天,Login for 1 day,Đăng nhập trong 1 ngày,누적 로그인일 수 1일 달성,17,1,,{rmb=20},10,
102,101016,,2,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到3天,累計登錄天數達到3天,Login for 3 days,Đăng nhập trong 3 ngày,누적 로그인일 수 3일 달성,17,3,,{rmb=20},20,
103,101016,,3,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到5天,累計登錄天數達到5天,Login for 5 days,Đăng nhập trong 5 ngày,누적 로그인일 수 5일 달성,17,5,,{rmb=20},30,
104,101016,,4,,,一天不落,一天不落,Perfect Attendance,Điểm danh hoàn hảo,프로 참석러,累计登录天数达到7天,累計登錄天數達到7天,Login for 7 days,Đăng nhập trong 7 ngày,누적 로그인일 수 7일 달성,17,7,,{rmb=20},50,
105,101016,,1,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到20次,通關副本達到20次,Challenge Common Dungeon 20 times,Thử thách phụ bản Thường 20 lần,던전 20회 클리어 달성,33,20,,{rmb=20},10,10000
106,101016,,2,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到50次,通關副本達到50次,Challenge Common Dungeon 50 times,Thử thách phụ bản Thường 50 lần,던전 50회 클리어 달성,33,50,,{rmb=20},20,10000
107,101016,,3,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到100次,通關副本達到100次,Challenge Common Dungeon 100 times,Thử thách phụ bản Thường 100 lần,던전 100회 클리어 달성,33,100,,{rmb=20},30,10000
108,101016,,4,,,通关能手,通關能手,Stage Sweeper,Người quét sân khấu,클리어 장인,通关副本达到180次,通關副本達到180次,Challenge Common Dungeon 180 times,Thử thách phụ bản Thường 180 lần,던전 180회 클리어 달성,33,180,,{rmb=20},50,10000
