VariableName,huodongID,daySum,themeType,themeName,themeName_en,themeName_th,themeName_in,themeName_ph,themeName_ma,themeName_vn,tabIndex,tabName,tabName_vn,tabName_en,tabName_th,tabName_in,tabName_ph,tabName_ma,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,award,costMap,priceShow,buyMax
Defaults,0,0,0,"""""","""""","""""","""""","""""","""""","""""",0,"""""","""""","""""","""""","""""","""""","""""",1,0,9999,{},"""""","""""","""""","""""","""""","""""","""""","""""",{},{},{},1
ID,活动版本ID,累计天数,主题类型,主题名称,themeName_en,themeName_th,themeName_in,themeName_ph,themeName_ma,themeName_vn,页签序号,页签名称,tabName_vn,tabName_en,tabName_th,tabName_in,tabName_ph,tabName_ma,任务计数类型 (1-强制计数; 2-只有当天计数; 3-当天开始后计数),任务类型,任务参数,任务特殊参数,描述,描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,奖励,消耗,原价,购买次数上限
1,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,1,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,ล็อกอินรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{13=10;504=10;gold=30000;6109=1},,,
2,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,2,22,300,,当日累积充值300元宝,,Hôm nay mua tổng cộng 300 Kim cương,Purchased a total of 300 Diamonds today  ,ซื้อเพชรครบ 300 เม็ดในวันนี้  ,Telah membeli total 300 Berlian hari ini  ,Nakabili ng kabuuang 300 Diamante ngayon  ,Telah membeli sejumlah 300 Berlian hari ini  ,{13=10;504=10;gold=30000;6109=1},,,
3,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,5,,等级达到5,,Đạt cấp độ 5,Reach Level 5  ,ถึงเลเวล 5  ,Mencapai Level 5  ,Maabot ang Antas 5  ,Capai Tahap 5  ,{6109=1;gold=2000},,,
4,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,10,,等级达到10,,Đạt cấp độ 10,Reach Level 10  ,ถึงเลเวล 10  ,Mencapai Level 10  ,Maabot ang Antas 10  ,Capai Tahap 10  ,{12=20;6109=1;gold=4000},,,
5,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,15,,等级达到15,,Đạt cấp độ 15,Reach Level 15  ,ถึงเลเวล 15  ,Mencapai Level 15  ,Maabot ang Antas 15  ,Capai Tahap 15  ,{12=20;6109=1;gold=6000},,,
6,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,20,,等级达到20,,Đạt cấp độ 20,Reach Level 20  ,ถึงเลเวล 20  ,Mencapai Level 20  ,Maabot ang Antas 20  ,Capai Tahap 20  ,{12=20;6109=1;gold=8000},,,
7,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,25,,等级达到25,,Đạt cấp độ 25,Reach Level 25  ,ถึงเลเวล 25  ,Mencapai Level 25  ,Maabot ang Antas 25  ,Capai Tahap 25  ,{12=20;6109=1;gold=10000},,,
8,11001,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,等级礼包,Gói cấp độ,Level Pack,แพ็กเลเวล,Paket Level,Level Pack,Pakej Tahap,,1,30,,等级达到30,,Đạt cấp độ 30,Reach Level 30  ,ถึงเลเวล 30  ,Mencapai Level 30  ,Maabot ang Antas 30  ,Capai Tahap 30  ,{12=20;6109=1;gold=12000},,,
