VariableName,huodongID,type,num,award
Defaults,0,1,0,{}
ID,活动版本ID,页签类型(1-签到;2-积分),目标值,任务奖励
1,101031,,1,{502=3;gold=680000;rmb=88;503=2}
2,101031,,2,{502=1;gold=280000;rmb=38;503=1}
3,101031,,3,{gold=1680000;521=4;rmb=288;503=6}
4,101031,,4,{gold=1080000;521=2;rmb=168;503=4}
5,101031,,5,{502=3;gold=680000;rmb=88;503=2}
6,101031,,6,{502=1;gold=280000;rmb=38;503=1}
7,101031,,7,{gold=1680000;521=4;rmb=288;503=6}
8,101031,2,300,{502=3;gold=680000;rmb=88;503=2}
9,101031,2,600,{502=1;gold=280000;rmb=38;503=1}
10,101031,2,800,{gold=1680000;521=4;rmb=288;503=6}
11,101031,2,1000,{gold=1080000;521=2;rmb=168;503=4}
12,101031,2,1300,{502=3;gold=680000;rmb=88;503=2}
13,101031,2,1600,{502=1;gold=280000;rmb=38;503=1}
14,101031,2,2000,{gold=1680000;521=4;rmb=288;503=6}
15,101031,2,2300,{gold=1080000;521=2;rmb=168;503=4}
16,101031,2,2600,{502=3;gold=680000;rmb=88;503=2}
17,101031,2,3900,{502=1;gold=280000;rmb=38;503=1}
18,101031,2,4200,{gold=1680000;521=4;rmb=288;503=6}
19,101031,2,4400,{gold=1080000;521=2;rmb=168;503=4}
20,101031,2,4600,{502=3;gold=680000;rmb=88;503=2}
21,101031,2,5000,{502=1;gold=280000;rmb=38;503=1}
101,10001,,1,{6326=3;rmb=88;gold=200000}
102,10001,,2,{6326=3;rmb=88;gold=200000}
103,10001,,3,{6326=3;rmb=88;gold=200000}
104,10001,,4,{6326=3;rmb=88;gold=200000}
105,10001,,5,{6326=3;rmb=88;gold=200000}
106,10001,,6,{6326=3;rmb=88;gold=200000}
107,10001,,7,{6326=3;rmb=88;gold=200000}
108,10001,,8,{6326=3;rmb=88;gold=200000}
109,10001,,9,{6326=3;rmb=88;gold=200000}
110,10001,,10,{6326=3;rmb=88;gold=200000}
111,10001,,11,{6326=3;rmb=88;gold=200000}
112,10001,,12,{6326=3;rmb=88;gold=200000}
201,10001,2,300,{930=10;850=50;5000=10}
202,10001,2,600,{21951=3;2102=10;21941=3}
203,10001,2,800,{930=15;850=50;5000=15}
204,10001,2,1000,{21951=3;2102=10;21941=3}
205,10001,2,1300,{930=15;850=50;5000=15}
206,10001,2,1600,{502=3;rmb=50;gold=200000}
