VariableName,huodongID,day,award
Defaults,,99,{}
ID,活动版本号,天数,资源奖励
101,1001,1,{cards=<{id=572};{id=1393};{id=972}>}
102,1001,2,{rmb=2888;521=5;501=30;500=1}
103,1001,3,{19=30;rmb=3888;515=10;500=1}
104,1001,4,{16=100;rmb=4888;521=10;500=1}
105,1001,5,{604=100;rmb=6888;521=10;500=1}
106,1001,6,{rmb=8888;851=500;521=20;500=1}
107,1001,7,{452=500;rmb=12888;521=20;500=1}
111,1002,1,{cards=<{id=1941};{id=1951};{id=3161}>}
112,1002,2,{rmb=2888;521=5;501=30;500=1}
113,1002,3,{19=30;rmb=3888;515=10;500=1}
114,1002,4,{16=100;rmb=4888;521=10;500=1}
115,1002,5,{604=100;rmb=6888;521=10;500=1}
116,1002,6,{rmb=8888;851=500;521=20;500=1}
117,1002,7,{452=500;rmb=12888;521=20;500=1}
121,1003,1,{cards=<{id=1313};{id=572};{id=701}>}
122,1003,2,{rmb=2888;521=5;501=30;500=1}
123,1003,3,{19=30;rmb=3888;515=10;500=1}
124,1003,4,{16=100;rmb=4888;521=10;500=1}
125,1003,5,{604=100;rmb=6888;521=10;500=1}
126,1003,6,{rmb=8888;851=500;521=20;500=1}
127,1003,7,{452=500;rmb=12888;521=20;500=1}
128,1004,1,{cards=<{id=1423};{id=2233};{id=3171}>}
132,1004,2,{rmb=2888;521=5;501=30;500=1}
133,1004,3,{19=30;rmb=3888;515=10;500=1}
134,1004,4,{16=100;rmb=4888;521=10;500=1}
135,1004,5,{604=100;rmb=6888;521=10;500=1}
136,1004,6,{rmb=8888;851=500;521=20;500=1}
137,1004,7,{452=500;rmb=12888;521=20;500=1}
141,1005,1,{cards=<{id=3021};{id=263};{id=721}>}
142,1005,2,{rmb=2888;521=5;501=30;500=1}
143,1005,3,{19=30;rmb=3888;515=10;500=1}
144,1005,4,{16=100;rmb=4888;521=10;500=1}
145,1005,5,{604=100;rmb=6888;521=10;500=1}
146,1005,6,{rmb=8888;851=500;521=20;500=1}
147,1005,7,{452=500;rmb=12888;521=20;500=1}
151,1006,1,{cards=<{id=3673};{id=1173};{id=3143}>}
152,1006,2,{rmb=2888;521=5;501=30;500=1}
153,1006,3,{19=30;rmb=3888;515=10;500=1}
154,1006,4,{16=100;rmb=4888;521=10;500=1}
155,1006,5,{604=100;rmb=6888;521=10;500=1}
156,1006,6,{rmb=8888;851=500;521=20;500=1}
157,1006,7,{452=500;rmb=12888;521=20;500=1}
161,1007,1,{cards=<{id=3353};{id=1961};{id=1241}>}
162,1007,2,{rmb=2888;521=5;501=30;500=1}
163,1007,3,{19=30;rmb=3888;515=10;500=1}
164,1007,4,{16=100;rmb=4888;521=10;500=1}
165,1007,5,{604=100;rmb=6888;521=10;500=1}
166,1007,6,{rmb=8888;851=500;521=20;500=1}
167,1007,7,{452=500;rmb=12888;521=20;500=1}
201,2001,1,{452=100;9018=1;cards=<{id=572}>}
202,2001,2,{200=1;100=20;210=1}
203,2001,3,{220=1;501=20;230=1}
204,2002,1,{2103=200;2102=500;30414=1}
205,2002,2,{451=500;452=200;521=100}
206,2002,3,{605=100;604=200;521=150}
207,2003,1,{19=100;521=50;8000=1}
208,2003,2,{526=300;3101=10;500=10}
209,2003,3,{4000=500;3101=20;6102=1}
