VariableName,leastLevel,active,type,huodongID,openDuration,beginDate,beginTime,endTime,endDate,desc,desc_en,desc_vn,desc_th,icon1,name,languages,icon,servers,redpoint,paramMap,openType,leastVipLevel,serverDayRange,relativeDayRange,clientParam,clientParam_th,independent,rDesc,rDesc_th,countType,sortWeight,validServerOpenDateRange,roleDayRange,validRoleCreatedDateRange
,0,0,0,0,1,20250329,0,0,20290101,,,,,0,,<cn;en;tw;vn;th;in;ma;ph>,city/main/icon_thlb.png,{dev=<1;999999>;cn=<1;999999>;th=<1;999999>;en=<1;999999>;vn=<1;999999>;xy=<1;999999>;kr=<1;999999>},0,{},1,0,<-1;9999>,<0;9999>,{},{},0,rDesc,rDesc,1,0,<20200101;20690101>,<-1;9999>,<20200101;20690101>
VariableName,leastLevel,active,type,huodongID,openDuration,beginDate,beginTime,endTime,endDate,desc,desc_en,desc_vn,desc_th,icon1,name,languages,icon,servers,redpoint,paramMap,openType,leastVipLevel,serverDayRange,relativeDayRange,clientParam,clientParam_th,independent,rDesc,rDesc_th,countType,sortWeight,validServerOpenDateRange,roleDayRange,validRoleCreatedDateRange
1,1,1,7,,3,20250329,900,0,20290101,Hero Party,Hero Party,Hero Party,ปาร์ตี้ฮีโร่,,_BAOHONG_,,,,,{stamina=60},,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,70,,,
2,1,1,7,,3,20250329,1200,0,20290101,Hero Party,Hero Party,Hero Party,ปาร์ตี้ฮีโร่,,_BAOHONG_,,,,,{stamina=60},,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,80,,,
3,1,1,7,,3,20250329,1800,0,20290101,Hero Party,Hero Party,Hero Party,ปาร์ตี้ฮีโร่,,_BAOHONG_,,,,,{stamina=60},,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,70,,,
4,1,1,7,,3,20250329,2100,0,20290101,Hero Party,Hero Party,Hero Party,ปาร์ตี้ฮีโร่,,_BAOHONG_,,,,,{stamina=60},,,,,,,,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,80,,,
5,1,1,27,,5000000,20250329,0,0,20290101,Hero Party,Hero Party,Hero Party,ปาร์ตี้ฮีโร่,,_BAOHONG_,,00ShuMa/TLBL_res/tlbl.png,,,{rmb=10},4,,,,,,3,,,,1,,,
6,1,1,22,22001,5000000,20250329,0,0,20290101,Level Fund,Level Fund,Level Fund,กองทุนระดับ,,_BAOHONG_,,00ShuMa/HD_res/LevelJiJin/10.png,,,{vip=3;rmb=1000},,,,,,,3,,,,2,,,
7,1,0,-1,,5000000,20250329,0,0,20290101,Daily Login,Daily Login,Daily Login,เข้าสู่ระบบรายวัน,,,,,,,{mailID=106},4,,,,,,-1,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,,,,
8,1,1,41,22002,5000000,20250329,0,0,20290101,Resource Recovery,Resource Recovery,Resource Recovery,การกู้คืนทรัพยากร,,,,,,,{limit=3;rmbUpd=<1;1.8;2.6>;dayUpd=<1;1.8;2.6>;freeProportion=60},,,,,{dayUpd=<1;1.8;2.6>;isShowTitle=False;topBg=activity/banner_zyhs@.png;generalTaskNotShowTime=True;limit=3;isShowCountDown=False;rmbUpd=<1;1.8;2.6>;freeProportion=60},{dayUpd=<1;1.8;2.6>;isShowTitle=False;topBg=activity/banner_zyhs@.png;generalTaskNotShowTime=True;limit=3;isShowCountDown=False;rmbUpd=<1;1.8;2.6>;freeProportion=60},3,,,,4,,,
10,1,1,8,,5000000,20250329,0,0,20290101,CrossAnime Poster,CrossAnime Poster,CrossAnime Poster,CrossAnime Poster,,,<th>,,,,,0,,,,{res=config/poster/crossanime.png},{res=config/poster/crossanime.png},-1,,,,1,,,
11,1,1,6,,5000000,20250329,0,0,20290101,Monthly Card,Monthly Card,Monthly Card,Monthly Card,,_BAOHONG_,,ICON/yunying/yueka.png,,1,{privilege=1;title=35;award={521=1;6109=3;rmb=500;stamina=150};rechargeID=1;most=3},,,,,,,3,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,3,,,
12,1,1,6,,5000000,20250329,0,0,20290101,Supreme Monthly Card,Supreme Monthly Card,Supreme Monthly Card,Supreme Monthly Card,,_BAOHONG_,,ICON/yunying/yueka.png,,,{privilege=2;title=36;award={stamina=300;521=3;6109=5;rmb=1000};rechargeID=2;most=3},,,,,,,3,"During the event, complete the corresponding objectives to receive rewards!",ในช่วงระยะเวลากิจกรรม ทำเป้าหมายที่กำหนดให้สำเร็จเพื่อรับรางวัล!,,3,,,
14,1,1,6,,24,20250329,0,0,20290101,Permanent Privilege Card,Permanent Privilege Card,Permanent Privilege Card,Permanent Privilege Card,1,_BAOHONG_,,city/main/icon_yjtq.png,,1,{privilege=3;award={rmb=1999;500=5;521=5;6109=5};rechargeID=10;most=1},,,,,,,1,,,,2,,,
20,1,0,8,,5000000,20250329,0,0,20290101,Official Opening Poster,Official Opening Poster,Official Opening Poster,Official Opening Poster,,,,,,,,3,,,<0;7>,{res=config/poster/img_hb_kfkh@.png},{res=config/poster/img_hb_kfkh@.png},-1,,,,2,,,
21,1,0,8,,168,20250329,0,0,20290101,Kakashi Poster,Kakashi Poster,Kakashi Poster,Kakashi Poster,,,,,,,,4,,,,{res=config/poster/img_hb_kfjnh@.png},{res=config/poster/img_hb_kfjnh@.png},-1,,,,2,,,
22,1,1,8,,168,20250329,0,0,20290101,First Recharge Poster,First Recharge Poster,First Recharge Poster,First Recharge Poster,,,,,,,,4,,,,{res=config/poster/img_hb_jhrw@.png},{res=config/poster/img_hb_jhrw@.png},-1,,,,2,,,
23,1,0,8,,5000000,20250329,0,0,20290101,Timed Gift,Timed Gift,Timed Gift,Timed Gift,,,,,,,,4,,,,{res=config/poster/img_hb_xianshilibao@.png},{res=config/poster/img_hb_xianshilibao@.png},-1,,,,2,,,
