VariableName,exp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
Defaults,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
ID,升至行对应等级经验值,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,1600,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
2,3200,92,100,93,100,,,,,,,,
3,4800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
4,6400,92,100,93,100,,,,,,,,
5,8000,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
6,9600,92,100,93,100,,,,,,,,
7,11200,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%
8,12800,92,150,93,150,,,,,,,,
9,14400,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%
10,16000,92,150,93,150,,,,,,,,
11,17600,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%
12,19200,92,150,93,150,,,,,,,,
13,20800,1,1.50%,13,1.50%,7,1.50%,8,1.50%,9,1.50%,10,1.50%
14,22400,92,150,93,150,,,,,,,,
15,24000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
16,25600,92,200,93,200,,,,,,,,
17,27200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
18,28800,92,200,93,200,,,,,,,,
19,30400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
20,32000,92,200,93,200,,,,,,,,
21,33600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
22,35200,92,200,93,200,,,,,,,,
23,36800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
24,38400,92,200,93,200,,,,,,,,
25,40000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
26,41600,92,200,93,200,,,,,,,,
27,43200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
28,44800,92,200,93,200,,,,,,,,
29,46400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
30,48000,92,200,93,200,,,,,,,,
31,49600,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
32,51200,92,300,93,300,,,,,,,,
33,52800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
34,54400,92,300,93,300,,,,,,,,
35,56000,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
36,57600,92,300,93,300,,,,,,,,
37,59200,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
38,60800,92,300,93,300,,,,,,,,
39,62400,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
40,64000,92,300,93,300,,,,,,,,
