VariableName,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum,roriFrags,roriCards
Defaults,"""""",0,<>,<>,{gold=20000},<>,<>,{gold=500000},10,<>,<>
ID,备注,类型,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,指定特殊碎片<<fragID1;num>;<fragID2;num>>(fragID支持配置万能碎片itemID),碎片转化消耗固定材料,精灵转换需<稀有度;属性系> -1为任意,指定特殊卡牌<markID>,卡牌转化消耗固定材料,精灵转换数量,roriFrags,roriCards
50001,,2,,<<20001;1>;<502;1>>,,,<1;9003>,{gold=1600000},80,,
50011,,2,,<<20011;1>>,,,<11;9003>,{gold=1600000},80,,
50021,,2,,<<20021;1>>,,,<21;9003>,{gold=1600000},80,,
50031,,2,,<<20031;1>>,,,<31>,{gold=1600000},80,,
50041,,2,,<<20041;1>>,,,<41>,{gold=1600000},80,,
50051,,2,,<<20051;1>>,,,<51;9003>,{gold=1600000},80,,
50061,,2,,<<20061;1>>,,,<61>,{gold=1600000},80,,
50071,,2,,<<20071;1>>,,,<71>,{gold=1600000},80,,
50081,,2,,<<20081;1>>,,,<81>,{gold=1600000},80,,
50091,,2,,<<20091;1>>,,,<91;9003>,{gold=1600000},80,,
50101,,2,,<<20101;1>>,,,<101>,{gold=1600000},80,,
50111,,2,,<<20111;1>>,,,<111>,{gold=1600000},80,,
50121,,2,,<<20121;1>>,,,<121>,{gold=1600000},80,,
50131,,2,,<<20131;1>>,,,<131;9003>,{gold=1600000},80,,
50151,,2,,<<20151;1>>,,,<151;9003>,{gold=1600000},80,,
50161,,2,,<<20161;1>>,,,<161;9003>,{gold=1600000},80,,
50171,,2,,<<20171;1>>,,,<171>,{gold=1600000},80,,
50191,,2,,<<20191;1>>,,,<191>,{gold=1600000},80,,
50211,,2,,<<20211;1>>,,,<211;9003>,{gold=1600000},80,,
50221,,2,,<<20221;1>>,,,<221;9003>,{gold=1600000},80,,
50231,,2,,<<20231;1>>,,,<231>,{gold=1600000},80,,
50241,,2,,<<20241;1>>,,,<241;9003>,{gold=1600000},80,,
50251,,2,,<<20251;1>;<502;1>>,,,<251;9003>,{gold=1600000},80,,
50261,,2,,<<20263;1>>,,,<263;9003>,{gold=1600000},80,,
50271,,2,,<<20271;1>>,,,<271;9003>,{gold=1600000},80,,
50281,,2,,<<20281;1>>,,,<281;9003>,{gold=1600000},80,,
50301,,2,,<<20301;1>>,,,<301;9003>,{gold=1600000},80,,
50321,,2,,<<20321;1>;<502;1>>,,,<321;9003>,{gold=1600000},80,,
50331,,2,,<<20331;1>>,,,<331;9003>,{gold=1600000},80,,
50341,,2,,<<20341;1>>,,,<341;9003>,{gold=1600000},80,,
50351,,2,,<<20351;1>>,,,<351>,{gold=1600000},80,,
50371,,2,,<<20371;1>>,,,<371;9003>,{gold=1600000},80,,
50381,,2,,<<20381;1>>,,,<381;9003>,{gold=1600000},80,,
50391,,2,,<<20393;1>>,,,<393;9003>,{gold=1600000},80,,
50401,,2,,<<20401;1>>,,,<401;9003>,{gold=1600000},80,,
50441,,2,,<<20441;1>;<502;1>>,,,<441;9003>,{gold=1600000},80,,
50451,,2,,<<20451;1>>,,,<451>,{gold=1600000},80,,
50461,,2,,<<20461;1>>,,,<461;9003>,{gold=1600000},80,,
50471,,2,,<<20471;1>>,,,<471;9003>,{gold=1600000},80,,
50481,,2,,<<20481;1>>,,,<481;9003>,{gold=1600000},80,,
50491,,2,,<<20491;1>>,,,<491;9003>,{gold=1600000},80,,
50501,,2,,<<20501;1>>,,,<501;9003>,{gold=1600000},80,,
50541,,2,,<<20541;1>>,,,<541>,{gold=1600000},80,,
50551,,2,,<<20551;1>>,,,<551;9003>,{gold=1600000},80,,
50561,,2,,<<20561;1>;<502;1>>,,,<561;9003>,{gold=1600000},80,,
50571,,2,,<<20572;1>;<521;1>>,,,<572;9003>,{gold=1600000},80,,
50591,,2,,<<20591;1>>,,,<591;9003>,{gold=1600000},80,,
50601,,2,,<<20601;1>>,,,<601;9003>,{gold=1600000},80,,
50611,,2,,<<20611;1>;<502;1>>,,,<611;9003>,{gold=1600000},80,,
50631,,2,,<<20631;1>>,,,<631;9003>,{gold=1600000},80,,
50641,,2,,<<20641;1>>,,,<641;9003>,{gold=1600000},80,,
50691,,2,,<<20691;1>>,,,<691;9003>,{gold=1600000},80,,
50701,,2,,<<20701;1>>,,,<701;9003>,{gold=1600000},80,,
50711,,2,,<<20711;1>>,,,<711;9003>,{gold=1600000},80,,
50721,,2,,<<20721;1>>,,,<721;9003>,{gold=1600000},80,,
50731,,2,,<<20731;1>>,,,<731;9003>,{gold=1600000},80,,
50741,,2,,<<20741;1>>,,,<741;9003>,{gold=1600000},80,,
50751,,2,,<<20751;1>>,,,<751;9003>,{gold=1600000},80,,
50761,,2,,<<20761;1>>,,,<761;9003>,{gold=1600000},80,,
50771,,2,,<<20771;1>>,,,<771;9003>,{gold=1600000},80,,
50781,,2,,<<20781;1>>,,,<781;9003>,{gold=1600000},80,,
50791,,2,,<<20791;1>>,,,<791;9003>,{gold=1600000},80,,
50801,,2,,<<20801;1>>,,,<801;9003>,{gold=1600000},80,,
50861,,2,,<<20861;1>>,,,<861;9003>,{gold=1600000},80,,
50881,,2,,<<20881;1>>,,,<881;9003>,{gold=1600000},80,,
50891,,2,,<<20891;1>>,,,<891>,{gold=1600000},80,,
50971,,2,,<<20971;1>;<502;1>>,,,<971;9003>,{gold=1600000},80,,
50991,,2,,<<20991;1>;<502;1>>,,,<991;9003>,{gold=1600000},80,,
51031,,2,,<<21031;1>>,,,<1031;9003>,{gold=1600000},80,,
51071,,2,,<<21071;1>>,,,<1071;9003>,{gold=1600000},80,,
51081,,2,,<<21081;1>>,,,<1081;9003>,{gold=1600000},80,,
51171,,2,,<<21171;1>>,,,<1171;9003>,{gold=1600000},80,,
51221,,2,,<<21221;1>>,,,<1221;9003>,{gold=1600000},80,,
51231,,2,,<<21231;1>>,,,<1231;9003>,{gold=1600000},80,,
51241,,2,,<<21241;1>>,,,<1241;9003>,{gold=1600000},80,,
51251,,2,,<<21251;1>>,,,<1251;9003>,{gold=1600000},80,,
51261,,2,,<<21261;1>>,,,<1261;9003>,{gold=1600000},80,,
51271,,2,,<<21271;1>>,,,<1271;9003>,{gold=1600000},80,,
51281,,2,,<<21281;1>;<521;1>>,,,<1281;9003>,{gold=1600000},80,,
51291,,2,,<<21291;1>>,,,<1291;9003>,{gold=1600000},80,,
51301,,2,,<<21301;1>>,,,<1301;9003>,{gold=1600000},80,,
51311,,2,,<<21311;1>>,,,<1311;9003>,{gold=1600000},80,,
51351,,2,,<<21351;1>>,,,<1351>,{gold=1600000},80,,
51391,,2,,<<21391;1>>,,,<1391;9003>,{gold=1600000},80,,
51421,,2,,<<21423;1>;<521;1>>,,,<1423;9003>,{gold=1600000},80,,
51441,,2,,<<21441;1>>,,,<1441;9003>,{gold=1600000},80,,
51481,,2,,<<21481;1>>,,,<1481;9003>,{gold=1600000},80,,
51501,,2,,<<21503;1>;<521;1>>,,,<1503;9003>,{gold=1600000},80,,
51611,,2,,<<21611;1>>,,,<1611;9003>,{gold=1600000},80,,
51641,,2,,<<21641;1>>,,,<1641;9003>,{gold=1600000},80,,
51771,,2,,<<21771;1>;<502;1>>,,,<1771;9003>,{gold=1600000},80,,
51801,,2,,<<21801;1>>,,,<1801;9003>,{gold=1600000},80,,
51811,,2,,<<21811;1>>,,,<1811;9003>,{gold=1600000},80,,
51841,,2,,<<21841;1>>,,,<1841;9003>,{gold=1600000},80,,
51851,,2,,<<21851;1>>,,,<1851;9003>,{gold=1600000},80,,
51861,,2,,<<21861;1>>,,,<1861;9003>,{gold=1600000},80,,
51891,,2,,<<21893;1>;<521;1>>,,,<1893;9003>,{gold=1600000},80,,
51901,,2,,<<21901;1>>,,,<1901;9003>,{gold=1600000},80,,
51911,,2,,<<21911;1>>,,,<1911;9003>,{gold=1600000},80,,
51921,,2,,<<21921;1>>,,,<1921;9003>,{gold=1600000},80,,
51931,,2,,<<21931;1>>,,,<1931;9003>,{gold=1600000},80,,
51941,,2,,<<21941;1>;<521;1>>,,,<1941;9003>,{gold=1600000},80,,
51951,,2,,<<21951;1>;<521;1>>,,,<1951;9003>,{gold=1600000},80,,
51961,,2,,<<21961;1>;<521;1>>,,,<1961;9003>,{gold=1600000},80,,
51971,,2,,<<21971;1>>,,,<1971;9003>,{gold=1600000},80,,
51981,,2,,<<21981;1>>,,,<1981;9003>,{gold=1600000},80,,
51991,,2,,<<21991;1>;<499;1>>,,,<1991>,{gold=1600000},120,,
52011,,2,,<<22011;1>>,,,<2011;9003>,{gold=1600000},80,,
52021,,2,,<<22021;1>;<502;1>>,,,<2021;9003>,{gold=1600000},80,,
52031,,2,,<<22031;1>>,,,<2031;9003>,{gold=1600000},80,,
52071,,2,,<<22071;1>>,,,<2071;9003>,{gold=1600000},80,,
52231,,2,,<<22233;1>;<521;1>>,,,<2233;9003>,{gold=1600000},80,,
52241,,2,,<<22241;1>>,,,<2241;9003>,{gold=1600000},80,,
52271,,2,,<<22271;1>>,,,<2271;9003>,{gold=1600000},80,,
52301,,2,,<<22301;1>>,,,<2301;9003>,{gold=1600000},80,,
52351,,2,,<<22351;1>;<521;1>>,,,<2351;9003>,{gold=1600000},80,,
52361,,2,,<<22361;1>;<521;1>>,,,<2361;9003>,{gold=1600000},80,,
52371,,2,,<<22371;1>;<502;1>>,,,<2371;9003>,{gold=1600000},80,,
52381,,2,,<<22381;1>;<521;1>>,,,<2381;9003>,{gold=1600000},80,,
52391,,2,,<<22391;1>;<521;1>>,,,<2391;9003>,{gold=1600000},80,,
52401,,2,,<<22401;1>;<521;1>>,,,<2401;9003>,{gold=1600000},80,,
52411,,2,,<<22411;1>;<502;1>>,,,<2411;9003>,{gold=1600000},80,,
52421,,2,,<<22421;1>;<521;1>>,,,<2421;9003>,{gold=1600000},80,,
52431,,2,,<<22431;1>;<521;1>>,,,<2431;9003>,{gold=1600000},80,,
52441,,2,,<<22441;1>>,,,<2441;9003>,{gold=1600000},80,,
52461,,2,,<<22461;1>;<499;1>>,,,<2461>,{gold=1600000},120,,
52471,,2,,<<22471;1>>,,,<2471;9003>,{gold=1600000},80,,
52481,,2,,<<22481;1>>,,,<2481;9003>,{gold=1600000},80,,
52491,,2,,<<22491;1>;<502;1>>,,,<2491;9003>,{gold=1600000},80,,
52591,,2,,<<22591;1>>,,,<2591;9003>,{gold=1600000},80,,
52611,,2,,<<22611;1>>,,,<2611;9003>,{gold=1600000},80,,
52631,,2,,<<22631;1>>,,,<2631;9003>,{gold=1600000},80,,
52681,,2,,<<22681;1>>,,,<2681;9003>,{gold=1600000},80,,
52721,,2,,<<22721;1>>,,,<2721;9003>,{gold=1600000},80,,
52821,,2,,<<22821;1>>,,,<2821;9003>,{gold=1600000},80,,
52831,,2,,<<22831;1>>,,,<2831;9003>,{gold=1600000},80,,
52841,,2,,<<22841;1>>,,,<2841;9003>,{gold=1600000},80,,
52871,,2,,<<22871;1>>,,,<2871;9003>,{gold=1600000},80,,
52891,,2,,<<22891;1>>,,,<2891;9003>,{gold=1600000},80,,
52921,,2,,<<22921;1>>,,,<2921;9003>,{gold=1600000},80,,
52922,,2,,<<22922;1>>,,,<2922;9003>,{gold=1600000},80,,
