VariableName,zawakeID,awakeSeqID,level,costItemMap,exp,attrAddType,natureType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,extraScene,extraAttrs,skillID,viceHeldItem,activeReq
Defaults,0,0,0,{},0,1,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",<>,{},0,FALSE,{}
ID,z觉醒id,觉醒阶段ID,觉醒等级,觉醒消耗,觉醒之力经验加成,属性加成类型：1-自身系列属性加成；2-指定自然属性卡牌属性加成(同一markID精灵只生效一次)；3-全体卡牌属性加成(同一markID精灵只生效一次),自然属性,属性加成1,属性加成数值1,属性加成2,属性加成数值2,属性加成3,属性加成数值3,属性加成4,属性加成数值4,属性加成5,属性加成数值5,额外属性加成场景(0-主城;1-关卡;2-竞技场;3-活动副本;4-冒险之路;5-公会副本;6-石英;7-元素挑战;8-以太;9-公会战;10-跨服石英;11-世界Boss;12-跨服竞技场;13-跨服实时对战;14-道馆;15-活动Boss;16-道馆PVP;17-跨服资源战PVP;18-跨服资源战boss;19-勇者挑战;20-远征;21-夏日挑战),额外属性加成,觉醒新增技能id（旧技能强化采用类似星级激活的逻辑方式）,新增副携带,生效条件(goodFeel:好感度等级;equipStarSum:饰品总星级;equipAwakeSum:饰品总觉醒;equipSignetAdvanceSum:饰品总刻印等级;zawakeStage:Z觉醒阶段;star:精灵星级;nvalueSum:个体值总和;advance:突破阶段;effort:精灵努力值阶段;gemQuality:符石指数)
101101,1,1,1,{59001=3;50001=3;gold=100000},50,,,1,835,7,166,8,166,9,116,10,116,,,,,
101102,1,1,2,{59001=3;50001=3;gold=120000},50,,,1,843,7,168,8,168,9,117,10,117,,,,,
101103,1,1,3,{59001=4;50001=4;gold=140000},50,,,1,852,7,169,8,169,9,118,10,118,,,,,
101104,1,1,4,{59001=4;50001=4;gold=160000},50,,,1,860,7,171,8,171,9,119,10,119,<0>,{1=3%},,,
101105,1,1,5,{59001=5;50001=5;gold=180000},50,,,1,868,7,173,8,173,9,121,10,121,,,,,
101106,1,1,6,{59001=5;50001=5;gold=200000},50,,,1,877,7,174,8,174,9,122,10,122,,,,,
101107,1,1,7,{59001=6;50001=6;gold=220000},50,,,1,885,7,176,8,176,9,123,10,123,,,,,
101108,1,1,8,{50001=6;gold=240000;501=1;59001=6},50,,,1,893,7,178,8,178,9,124,10,124,<0>,{25=300;24=300},,,
