VariableName,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1_cn,awakeDes1_tw,awakeDes1,awakeDes1_vn,awakeDes1_en,awakeDes1_th,awakeDes1_in,awakeDes1_ph,awakeDes1_ma,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
Defaults,0,,0,{},0.5,"""""","""""","""""","""""","""""","""""","""""","""""","""""",1,-1,{},-1,{}
ID,z觉醒id,精灵备注,觉醒阶段ID,结点位置坐标,结点缩放,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,awakeDes1_vn,awakeDes1_en,awakeDes1_th,awakeDes1_in,awakeDes1_ph,awakeDes1_ma,开启状态：1.当前版本开启，2.当前版本未开启可预览，3.当前版本未开启,开启条件1类型：(-1)自身养成; (markID)其他精灵,开启条件1具体参数：1.觉醒阶段参数 2.其他养成具体参数(goodFeel:好感度等级;equipStarSum:饰品总星级;equipAwakeSum:饰品总觉醒;equipSignetAdvanceSum:饰品总刻印等级;zawakeStage:Z觉醒阶段;star:精灵星级;nvalueSum:个体值总和;advance:突破阶段;effort:精灵努力值阶段;gemQuality:符石指数),开启条件2类型,开启条件2具体参数
10101,1,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
10102,1,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
10103,1,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
10104,1,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
10105,1,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,1,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
10106,1,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,1,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
10107,1,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
10108,1,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
10201,2,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
10202,2,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
