VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,quality,type,stackMax,effBtn,pageTag,languages,cardID,icon,desc,desc_en,desc_vn,desc_th,desc_in,desc_ma,desc_ph,desc1,desc1_en,desc1_vn,desc1_th,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
Defaults,"""""","""""","""""","""""","""""","""""","""""",4,5,9999,<1>,<3>,<cn;in;en;vn;th;ma;ph>,0,config/portrait/jinglingtouxiang/img_25_pkq@.png,"""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""","""A special fragment that cannot be synthesized into elves""",Mainly used for elf Z awakening but can also be used to improve limit attributes and even as super evolution material,Mainly used for elf Z awakening but can also be used to improve limit attributes and even as super evolution material,Mainly used for elf Z awakening but can also be used to improve limit attributes and even as super evolution material,Mainly used for elf Z awakening but can also be used to improve limit attributes and even as super evolution material,"""""","""""","""""","""""","""""","""""","""""",Can be exchanged in Elf Z Awakening,Can be exchanged in Elf Z Awakening,Can be exchanged in Elf Z Awakening,Can be exchanged in Elf Z Awakening,{drawcard=false;gain=false},0,0
碎片ID,碎片名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片5专属觉醒碎片6通用觉醒碎片),堆叠上限,功能按键,pageTag,语言区域,卡牌ID,碎片图标,描述,描述,描述_韩,描述_韩,描述_韩,描述_韩,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,卡牌碎片信息_韩,produceGate1,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_韩,分别表示在抽卡，恭喜获得,排序类型,排序价值
50571,Akame-Fate Fragment,Mảnh Định Mệnh-Akame,Akame-Fate Fragment,อาคาเมะ-เศษโชคชะตา,Akame-Fragmen Takdir,Akame-Piraso ng Kapalaran,Akame-Fragmen Takdir,6,,,,,,,config/portrait/jinglingtouxiang/img_574.png,Used to enhance Akame Fate Core,Used to enhance Akame Fate Core,Dùng để tăng trưởng mệnh cách của Chiến Binh Akame,ใช้ในการพัฒนาแก่นชะตาของอาคาเมะ,Digunakan untuk meningkatkan takdir Akame,Digunakan untuk meningkatkan nasib Akame,Ginagamit upang pahusayin ang kapalaran ni Akame,Used to enhance Akame Fate Development,Used to enhance Akame Fate Development,,ใช้สำหรับพัฒนาชะตาของอาคาเมะ,zawakeFragCurrency,,,,,,,,,,,,,
51421,Saitama-Fate Fragment,Mảnh Định Mệnh-Saitama,Saitama-Fate Fragment,ไซตามะ-เศษโชคชะตา,Saitama-Fragmen Takdir,Saitama-Piraso ng Kapalaran,Saitama-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1423.png,Used to enhance Saitama Fate Core,Used to enhance Saitama Fate Core,Dùng để tăng trưởng mệnh cách của Saitama,ใช้ในการพัฒนาแก่นชะตาของไซตามะ,Digunakan untuk meningkatkan takdir Saitama,Digunakan untuk meningkatkan nasib Saitama,Ginagamit upang pahusayin ang kapalaran ni Saitama,Used to enhance Saitama Fate Development,Used to enhance Saitama Fate Development,,ใช้สำหรับพัฒนาชะตาของไซตามะ,zawakeFragCurrency,,,,,,,,,,,,,
51501,Maple-Fate Fragment,Mảnh Định Mệnh-Maple,Maple-Fate Fragment,เมเปิล-เศษโชคชะตา,Maple-Fragmen Takdir,Maple-Piraso ng Kapalaran,Maple-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1503.png,Used to enhance Maple Fate Core,Used to enhance Maple Fate Core,Dùng để tăng trưởng mệnh cách của Maple,ใช้ในการพัฒนาแก่นชะตาของเมเปิ้ล,Digunakan untuk meningkatkan takdir Maple,Digunakan untuk meningkatkan nasib Maple,Ginagamit upang pahusayin ang kapalaran ni Maple,Used to enhance Maple Fate Development,Used to enhance Maple Fate Development,,ใช้สำหรับพัฒนาชะตาของเมเปิ้ล,zawakeFragCurrency,,,,,,,,,,,,,
51891,Icarus-Fate Fragment,Mảnh Định Mệnh-Ikaros,Icarus-Fate Fragment,อิคารัส-เศษโชคชะตา,Icarus-Fragmen Takdir,Icarus-Piraso ng Kapalaran,Icarus-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1893.png,Used to enhance Ikaros Fate Core,Used to enhance Ikaros Fate Core,Dùng để tăng trưởng mệnh cách của Ikaros,ใช้ในการพัฒนาแก่นชะตาของอิคารอส,Digunakan untuk meningkatkan takdir Ikaros,Digunakan untuk meningkatkan nasib Ikaros,Ginagamit upang pahusayin ang kapalaran ni Ikaros,Used to enhance Ikaros Fate Development,Used to enhance Ikaros Fate Development,,ใช้สำหรับพัฒนาชะตาของอิคารอส,zawakeFragCurrency,,,,,,,,,,,,,
51941,Angewomon-Fate Fragment,Mảnh Định Mệnh-Angewomon,Angewomon-Fate Fragment,แองเจวูมอน-เศษโชคชะตา,Angewomon-Fragmen Takdir,Angewomon-Piraso ng Kapalaran,Angewomon-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1941.png,Used to enhance Angewomon Fate Core,Used to enhance Angewomon Fate Core,Dùng để tăng trưởng mệnh cách của Thiên Nữ Thú,ใช้ในการพัฒนาแก่นชะตาของแองเจอโวม่อน,Digunakan untuk meningkatkan takdir Angewomon,Digunakan untuk meningkatkan nasib Angewomon,Ginagamit upang pahusayin ang kapalaran ni Angewomon,Used to enhance Angewomon Fate Development,Used to enhance Angewomon Fate Development,,ใช้สำหรับพัฒนาชะตาของแองเจวูมอน,zawakeFragCurrency,,,,,,,,,,,,,
51951,Angemon-Fate Fragment,Mảnh Định Mệnh-Angemon,Angemon-Fate Fragment,แองเจมอน-เศษโชคชะตา,Angemon-Fragmen Takdir,Angemon-Piraso ng Kapalaran,Angemon-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1951.png,Used to enhance Angemon Fate Core,Used to enhance Angemon Fate Core,Dùng để tăng trưởng mệnh cách của Thiên Sứ Thú,ใช้ในการพัฒนาแก่นชะตาของแองเจม่อน,Digunakan untuk meningkatkan takdir Angemon,Digunakan untuk meningkatkan nasib Angemon,Ginagamit upang pahusayin ang kapalaran ni Angemon,Used to enhance Angemon Fate Development,Used to enhance Angemon Fate Development,,ใช้สำหรับพัฒนาชะตาของแองเจมอน,zawakeFragCurrency,,,,,,,,,,,,,
51961,Aqua-Fate Fragment,Mảnh Định Mệnh-Aqua,Aqua-Fate Fragment,อควา-เศษโชคชะตา,Aqua-Fragmen Takdir,Aqua-Piraso ng Kapalaran,Aqua-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_1961.png,Used to enhance Aqua Fate Core,Used to enhance Aqua Fate Core,Dùng để tăng trưởng mệnh cách của Aqua,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Aqua,Digunakan untuk meningkatkan nasib Aqua,Ginagamit upang pahusayin ang kapalaran ni Aqua,Used to enhance Aqua Fate Development,Used to enhance Aqua Fate Development,,ใช้สำหรับพัฒนาชะตาของอควา,zawakeFragCurrency,,,,,,,,,,,,,
51991,Tensa-Fate Fragment,Mảnh Định Mệnh-Tensa,Tensa-Fate Fragment,อควา-เศษโชคชะตา,Tensa-Fragmen Takdir,Tensa-Piraso ng Kapalaran,Tensa-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/TSZYQN.png,Used to enhance Tensa Fate Core,Used to enhance Tensa Fate Core,Dùng để tăng trưởng mệnh cách của Tensa,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Tensa,Digunakan untuk meningkatkan nasib Tensa,Ginagamit upang pahusayin ang kapalaran ni Tensa,Used to enhance Tensa Fate Development,Used to enhance Tensa Fate Development,,ใช้สำหรับพัฒนาชะตาของอควา,zawakeFragCurrency,,,,,,,,,,,,,
