id,key,key_tw
1,体力药剂（小）,體力藥劑（小）
2,使用：,使用：
3,售价：,售價：
4,经验卡 (小),經驗卡 (小)
5,件,件
6,拥有：,擁有：
7,集集集集集集集集集集集集集集集集集集集集集集集集,集集集集集集集集集集集集集集集集集集集集集集集集
8,感觉变得更强了,感覺變得更強了
9,出售价格：,出售價格：
10,该物品无法出售,該物品無法出售
11,您当前没有该类道具～,您當前沒有該類道具～
12,道具名称阿拉,道具名稱阿拉
13,祖顿兽,祖頓獸
14,本次距离：20,本次距離：20
15,可获得奖励：,可獲得獎勵：
16,(超出每日上限部分无法获得),(超出每日上限部分無法獲得)
17,炮杆可通过长按箭头上下移动或拉伸进行力度及方向调整，箭头拉的越大，发射威力越大,炮杆可通過長按箭頭上下移動或拉伸進行力度及方向調整，箭頭拉的越大，發射威力越大
18,规则,規則
19,1.玩法次数在每天凌晨5点重置,1.玩法次數在每天淩晨5點重置
20,2.长按箭头上下移动或拉伸，可调整炮管的力度与角度,2.長按箭頭上下移動或拉伸，可調整炮管的力度與角度
21,3.本玩法可获得金币、钻石、冰熊兽碎片,3.本玩法可獲得金幣、鑽石、冰熊獸碎片
22,4.射中一个靶子积分数+1，每达到一定积分数可获得相应奖励,4.射中一個靶子積分數+1，每達到一定積分數可獲得相應獎勵
23,5.奖励设置每日上限,5.獎勵設置每日上限
24,提升VIP等级可增加购买次数,提升VIP等級可增加購買次數
25,今日购买技能次数已用完  ,今日購買技能次數已用完
26,您是VIPX，今日还可购买,您是VIPX，今日還可購買
27,购买20技能点，需花费,購買20技能點，需花費
28,x次,x次
29,战斗力:2009,戰鬥力:2009
30,兽人加鲁鲁兽+2,獸人加魯魯獸+2
31,机械暴龙兽,機械暴龍獸
32,进化条件：,進化條件：
33,点击黑影可进化,點擊黑影可進化
34,该形态仅供展示,該形態僅供展示
35,需要等级25,需要等級25
36,长按道具可连续使用,長按道具可連續使用
37,檀香之泪,檀香之淚
38,角色5星解锁,角色5星解鎖
39,数码暴龙兽+2,數碼暴龍獸+2
40,剩余技能点数：20(点数已满),剩餘技能點數：20(點數已滿)
41,世界频道,世界頻道
42,系统频道,系統頻道
43,公会频道,公會頻道
44,组队频道,組隊頻道
45,私聊频道,私聊頻道
46,玩家玩家名字,玩家玩家名字
47,天天开心,天天開心
48,数码数码名字,數碼數碼名字
49,称号需要积分：,稱號需要積分：
50,成就积分：10/20,成就積分：10/20
