变量名,project,opt
默认值,,RGBA8888
ID,工程名,A4、A8等
1,buff/bingdong/bingdong,
2,buff/guangdun1/guangdun1,
3,effect/battleui,
4,effect/buzhen,
5,effect/buzhen2,
6,effect/chongsheng,
7,effect/chouka,
8,effect/cutcreen4,
9,effect/dazhao_bj,
10,effect/death,
11,effect/dz_ice,
12,effect/getizhi,
13,effect/gonghuixunlian,
14,effect/gongxihuode,
15,effect/guanqiabaoxiang,
16,effect/huodexinjingling,
17,effect/jiedianjiangli,
18,effect/jiemian_vs,
19,effect/jiesuanjiemian,
20,effect/jineng,
21,effect/jinglingbeibao,
22,effect/jinglingchuxian,
23,effect/jinhua,
24,effect/jinhuajiemian,
25,effect/jubao,
26,effect/kaixiangguang,
27,effect/keduihuan,
28,effect/mabi,
29,effect/maoxianditu,
30,effect/nuizhifankui,
31,effect/peiyanghuhuan,
32,effect/qianlizhi,
33,effect/renwukelingqu,
34,effect/shengji,
35,effect/shengjitiao,
36,effect/shipinfaguang,
37,effect/shouyindao,
38,effect/shuzisaoguang,
39,effect/tupo,
40,effect/tupohuan,
41,effect/wupinguang,
42,effect/wuxianguangqia,
43,effect/xilian,
44,effect/yuanxiangsaoguang,
45,effect/zhiliaoxiaoguo,
46,figure/xiaozhi/xiaozhi,
47,koudai_beijing/tiankong,
48,level/anniu1,
49,level/anniu2,
50,level/jiesuanshengli,
51,level/newzhandoushengli,
52,level/qiangdilaixi,
53,level/saodangchenggong,
54,level/xuanguan,
55,level/zhandoujiangli,
56,login/login,
57,ruchang/ruchang,
58,shengjichangtiao/changtiao,
59,union/daqiguang,
60,union/gonghuimeiri,
61,union/hongbao,
62,union/hongbaokeling,
63,union/huanghekelingqu,
64,union/shuiche,
65,union/tiankongdi,
66,zhuchangjing/shenmishangdain,
67,zhuchangjing/zhucj,
68,zhuchangjing/yezi,
